etf_code,etf_name,index_name,fund_company,style_bucket,expense_ratio,inception_date,universe_layer,exchange,has_listed_etf_options_in_source_file
510050,华夏上证50ETF,上证50指数,,大盘蓝筹/金融权重,,,核心池,上交所,是
510300,华泰柏瑞沪深300ETF,沪深300指数,,A股核心宽基,,,核心池,上交所,是
159919,嘉实沪深300ETF,沪深300指数,,A股核心宽基,,,核心池,深交所,是
510500,南方中证500ETF,中证500指数,,中盘成长/均衡,,,核心池,上交所,是
159922,嘉实中证500ETF,中证500指数,,中盘成长/均衡,,,核心池,深交所,是
159915,易方达创业板ETF,创业板指数,,成长/科技/医药权重,,,核心池,深交所,是
159901,易方达深证100ETF,深证100指数,,深市大盘/成长均衡,,,核心池,深交所,是
588000,华夏上证科创板50ETF,上证科创板50成份指数,,科创/硬科技,,,核心池,上交所,是
588080,易方达上证科创板50ETF,上证科创板50成份指数,,科创/硬科技,,,核心池,上交所,是
510880,华泰柏瑞红利ETF,上证红利指数,,高股息/价值,,,观察池,上交所,否/待跟踪
512880,国泰中证全指证券公司ETF,中证全指证券公司指数,,券商/非银金融,,,观察池,上交所,否/待跟踪
512170,华宝中证医疗ETF,中证医疗指数,,医疗服务/医药成长,,,观察池,上交所,否/待跟踪
159928,汇添富中证主要消费ETF,中证主要消费指数,,消费/食品饮料,,,观察池,深交所,否/待跟踪
512690,鹏华中证酒ETF,中证酒指数,,白酒/食品饮料,,,观察池,上交所,否/待跟踪
512480,国联安中证全指半导体ETF,中证全指半导体产品与设备指数,,半导体/科技制造,,,观察池,上交所,否/待跟踪
159995,华夏国证半导体芯片ETF,国证半导体芯片指数,,芯片/半导体,,,观察池,深交所,否/待跟踪
515790,华泰柏瑞中证光伏产业ETF,中证光伏产业指数,,光伏/新能源制造,,,观察池,上交所,否/待跟踪
515030,华夏中证新能源汽车ETF,中证新能源汽车指数,,新能源车产业链,,,观察池,上交所,否/待跟踪
