date,etf_code,open,high,low,close,adj_close,volume,amount
2021-01-04,159901,7.89,8.078,7.862,8.05,8.05,275467.45,220424.413
2021-01-05,159901,8.05,8.347,7.997,8.309,8.309,276417.71,226357.635
2021-01-06,159901,8.315,8.42,8.225,8.338,8.338,350188.8,291060.561
2021-01-07,159901,8.325,8.526,8.309,8.526,8.526,269853.26,226768.912
2021-01-08,159901,8.52,8.58,8.361,8.459,8.459,362033.34,305672.17
2021-01-11,159901,8.462,8.519,8.285,8.333,8.333,314423.61,264424.847
2021-01-12,159901,8.309,8.58,8.291,8.58,8.58,311744.82,263306.499
2021-01-13,159901,8.6,8.68,8.452,8.518,8.518,389494.76,333995.191
2021-01-14,159901,8.491,8.498,8.286,8.297,8.297,321558.49,269145.072
2021-01-15,159901,8.284,8.331,8.12,8.281,8.281,332737.82,273986.193
2021-01-18,159901,8.228,8.426,8.188,8.385,8.385,262051.02,218693.933
2021-01-19,159901,8.359,8.359,8.192,8.218,8.218,237154.28,196336.692
2021-01-20,159901,8.215,8.378,8.199,8.355,8.355,267969.74,222999.565
2021-01-21,159901,8.375,8.605,8.325,8.555,8.555,285101.2,242207.648
2021-01-22,159901,8.556,8.634,8.463,8.634,8.634,317786.72,271605.147
2021-01-25,159901,8.622,8.814,8.57,8.716,8.716,241881.92,210300.065
2021-01-26,159901,8.689,8.689,8.489,8.496,8.496,315513.85,270323.839
2021-01-27,159901,8.48,8.556,8.345,8.539,8.539,191059.0,161728.219
2021-01-28,159901,8.43,8.43,8.212,8.225,8.225,323450.68,268782.245
2021-01-29,159901,8.273,8.329,8.079,8.194,8.194,274877.14,226019.633
2021-02-01,159901,8.2,8.351,8.186,8.347,8.347,218098.13,180955.476
2021-02-02,159901,8.359,8.552,8.324,8.552,8.552,237213.25,200527.788
2021-02-03,159901,8.552,8.62,8.501,8.511,8.511,239300.57,204892.255
2021-02-04,159901,8.465,8.555,8.381,8.489,8.489,302215.61,256027.429
2021-02-05,159901,8.493,8.578,8.45,8.465,8.465,265951.6,226714.426
2021-02-08,159901,8.472,8.634,8.425,8.626,8.626,215958.58,184628.665
2021-02-09,159901,8.65,8.853,8.61,8.853,8.853,250554.88,219535.591
2021-02-10,159901,8.9,9.114,8.86,9.092,9.092,267533.6,241124.348
