ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
159901.SZ,20260603,4.071,4.082,4.18,4.058,4.108,0.037,0.91,980598.21,404999.3035
159901.SZ,20260602,3.976,3.976,4.082,3.956,4.071,0.095,2.39,1143102.24,458654.185
159901.SZ,20260601,4.046,4.051,4.074,3.966,3.976,-0.07,-1.73,991008.8,397970.3955
159901.SZ,20260529,4.087,4.092,4.125,4.029,4.046,-0.041,-1.0,1124043.4,458661.7364
159901.SZ,20260528,4.036,4.031,4.093,3.97,4.087,0.051,1.2636,1467225.55,588982.163
159901.SZ,20260527,4.061,4.06,4.112,4.019,4.036,-0.025,-0.6156,2456991.57,1000527.55
159901.SZ,20260526,4.025,4.009,4.065,3.995,4.061,0.036,0.8944,2083878.09,840616.327
159901.SZ,20260525,3.951,3.965,4.027,3.94,4.025,0.074,1.8729,1685046.13,670701.309
159901.SZ,20260522,3.859,3.869,3.954,3.869,3.951,0.092,2.384,1564085.39,610596.197
159901.SZ,20260521,3.914,3.934,4.016,3.849,3.859,-0.055,-1.4052,1911476.6,755476.237
159901.SZ,20260520,3.911,3.889,3.932,3.874,3.914,0.003,0.0767,1433610.61,559414.017
159901.SZ,20260519,3.917,3.892,3.92,3.832,3.911,-0.006,-0.1532,1594702.35,617579.43
159901.SZ,20260518,3.946,3.92,3.956,3.891,3.917,-0.029,-0.7349,904041.2,355427.32
159901.SZ,20260515,3.979,3.986,4.012,3.908,3.946,-0.033,-0.8294,1967673.66,779366.98
159901.SZ,20260514,4.054,4.068,4.084,3.962,3.979,-0.075,-1.85,1092689.97,439111.24
159901.SZ,20260513,3.977,3.957,4.054,3.95,4.054,0.077,1.9361,1893283.34,755151.608
159901.SZ,20260512,3.982,3.998,4.008,3.954,3.977,-0.005,-0.1256,1542231.38,615181.428
159901.SZ,20260511,3.893,3.908,3.995,3.907,3.982,0.089,2.2862,1197225.16,473475.044
159901.SZ,20260508,3.927,3.906,3.922,3.881,3.893,-0.034,-0.8658,759354.0,296655.878
159901.SZ,20260507,3.889,3.892,3.931,3.869,3.927,0.038,0.9771,1125977.74,439749.691
159901.SZ,20260506,3.829,3.885,3.915,3.846,3.889,0.06,1.567,700310.9,271941.31
159901.SZ,20260430,3.837,3.832,3.863,3.817,3.829,-0.008,-0.2085,877924.02,337226.829
159901.SZ,20260429,3.765,3.763,3.843,3.75,3.837,0.072,1.9124,785093.8,298367.082
159901.SZ,20260428,3.802,3.791,3.793,3.752,3.765,-0.037,-0.9732,763089.0,287846.591
159901.SZ,20260427,3.797,3.797,3.828,3.79,3.802,0.005,0.1317,485999.4,185201.772
159901.SZ,20260424,3.834,3.802,3.823,3.757,3.797,-0.037,-0.965,458495.8,173803.509
159901.SZ,20260423,3.851,3.855,3.879,3.802,3.834,-0.017,-0.4414,827270.21,318165.714
159901.SZ,20260422,3.789,3.773,3.853,3.772,3.851,0.062,1.6363,680208.0,260635.189
159901.SZ,20260421,3.773,3.764,3.8,3.726,3.789,0.016,0.4241,568740.76,214013.267
159901.SZ,20260420,3.759,3.754,3.784,3.737,3.773,0.014,0.3724,793729.06,299080.772
159901.SZ,20260417,3.74,3.747,3.767,3.735,3.759,0.019,0.508,621027.0,232920.572
159901.SZ,20260416,3.658,3.663,3.744,3.663,3.74,0.082,2.2417,919941.01,342217.561
159901.SZ,20260415,3.693,3.709,3.725,3.645,3.658,-0.035,-0.9477,519452.0,191261.658
159901.SZ,20260414,3.639,3.672,3.694,3.646,3.693,0.054,1.4839,866840.07,318422.692
159901.SZ,20260413,3.616,3.612,3.647,3.588,3.639,0.023,0.6361,554705.45,201388.425
159901.SZ,20260410,3.511,3.521,3.632,3.521,3.616,0.105,2.9906,692049.04,248169.832
159901.SZ,20260409,3.522,3.507,3.521,3.486,3.511,-0.011,-0.3123,431133.0,151123.414
159901.SZ,20260408,3.368,3.423,3.522,3.423,3.522,0.154,4.5724,422263.44,147214.746
159901.SZ,20260407,3.373,3.373,3.39,3.344,3.368,-0.005,-0.1482,573987.0,193260.651
159901.SZ,20260403,3.4,3.405,3.422,3.372,3.373,-0.027,-0.7941,465171.0,157757.751
159901.SZ,20260402,3.446,3.44,3.444,3.385,3.4,-0.046,-1.3349,452111.4,154400.542
159901.SZ,20260401,3.398,3.44,3.453,3.415,3.446,0.048,1.4126,416398.96,143154.691
159901.SZ,20260331,3.444,3.441,3.471,3.398,3.398,-0.046,-1.3357,749894.0,257262.54
159901.SZ,20260330,3.465,3.435,3.452,3.406,3.444,-0.021,-0.6061,444841.84,152489.157
159901.SZ,20260327,3.439,3.419,3.485,3.396,3.465,0.026,0.756,746155.79,257658.82
159901.SZ,20260326,3.488,3.473,3.502,3.43,3.439,-0.049,-1.4048,458966.0,159179.977
159901.SZ,20260325,3.42,3.445,3.489,3.445,3.488,0.068,1.9883,617984.4,214569.172
159901.SZ,20260324,3.397,3.428,3.432,3.343,3.42,0.023,0.6771,671451.0,227254.44
159901.SZ,20260323,3.504,3.474,3.478,3.373,3.397,-0.107,-3.0537,694146.8,238244.422
159901.SZ,20260320,3.482,3.498,3.564,3.498,3.504,0.022,0.6318,569819.06,201607.19
159901.SZ,20260319,3.528,3.484,3.529,3.471,3.482,-0.046,-1.3039,555626.4,194571.829
159901.SZ,20260318,3.511,3.508,3.533,3.469,3.528,0.017,0.4842,714728.0,249912.324
159901.SZ,20260317,3.541,3.556,3.582,3.493,3.511,-0.03,-0.8472,793044.4,281287.03
159901.SZ,20260316,3.525,3.523,3.548,3.483,3.541,0.016,0.4539,475938.28,167358.877
159901.SZ,20260313,3.517,3.501,3.545,3.495,3.525,0.008,0.2275,515477.0,181967.568
159901.SZ,20260312,3.542,3.543,3.545,3.489,3.517,-0.025,-0.7058,514425.02,180778.379
