ts_code,exchange,name,per_unit,opt_code,opt_type,call_put,exercise_type,exercise_price,s_month,maturity_date,list_price,list_date,delist_date,last_edate,last_ddate,quote_unit,min_price_chg
10011777.SH,SSE,科创50购7月1650,10000.0,OP588000.SH,ETF期权,C,欧式,1.65,202607,20260722,0.2179,20260601,20260722,20260722,20260723,人民币元,0.0001
10011778.SH,SSE,科创50沽7月1650,10000.0,OP588000.SH,ETF期权,P,欧式,1.65,202607,20260722,0.0559,20260601,20260722,20260722,20260723,人民币元,0.0001
10011779.SH,SSE,科创板50购7月1600,10000.0,OP588080.SH,ETF期权,C,欧式,1.6,202607,20260722,0.2136,20260601,20260722,20260722,20260723,人民币元,0.0001
10011780.SH,SSE,科创板50沽7月1600,10000.0,OP588080.SH,ETF期权,P,欧式,1.6,202607,20260722,0.0553,20260601,20260722,20260722,20260723,人民币元,0.0001
10011774.SH,SSE,华夏上证科创板50ETF期权2607认沽2.15,10000.0,OP588000.SH,ETF期权,P,欧式,2.15,202607,20260722,0.3084,20260529,20260722,20260722,20260723,人民币元,0.0001
10011772.SH,SSE,南方中证500ETF期权2607认沽9.75,10000.0,OP510500.SH,ETF期权,P,欧式,9.75,202607,20260722,1.2146,20260529,20260722,20260722,20260723,人民币元,0.0001
10011773.SH,SSE,华夏上证科创板50ETF期权2607认购2.15,10000.0,OP588000.SH,ETF期权,C,欧式,2.15,202607,20260722,0.0528,20260529,20260722,20260722,20260723,人民币元,0.0001
10011771.SH,SSE,南方中证500ETF期权2607认购9.75,10000.0,OP510500.SH,ETF期权,C,欧式,9.75,202607,20260722,0.0382,20260529,20260722,20260722,20260723,人民币元,0.0001
10011776.SH,SSE,易方达上证科创板50ETF期权2607认沽2.10,10000.0,OP588080.SH,ETF期权,P,欧式,2.1,202607,20260722,0.3147,20260529,20260722,20260722,20260723,人民币元,0.0001
10011775.SH,SSE,易方达上证科创板50ETF期权2607认购2.10,10000.0,OP588080.SH,ETF期权,C,欧式,2.1,202607,20260722,0.0513,20260529,20260722,20260722,20260723,人民币元,0.0001
10011735.SH,SSE,华夏上证科创板50ETF期权2607认购1.70,10000.0,OP588000.SH,ETF期权,C,欧式,1.7,202607,20260722,0.2187,20260528,20260722,20260722,20260723,人民币元,0.0001
10011714.SH,SSE,华泰柏瑞沪深300ETF期权2607认沽5.25,10000.0,OP510300.SH,ETF期权,P,欧式,5.25,202607,20260722,0.4029,20260528,20260722,20260722,20260723,人民币元,0.0001
10011752.SH,SSE,华夏上证科创板50ETF期权2607认沽2.10,10000.0,OP588000.SH,ETF期权,P,欧式,2.1,202607,20260722,0.3025,20260528,20260722,20260722,20260723,人民币元,0.0001
10011693.SH,SSE,华夏上证50ETF期权2607认沽2.95,10000.0,OP510050.SH,ETF期权,P,欧式,2.95,202607,20260722,0.0573,20260528,20260722,20260722,20260723,人民币元,0.0001
