ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
10003242.SH,20210129,SSE,0.0902,0.0902,0.0881,0.1046,0.0826,0.0929,0.0929,845.0,76.6878,547.0
10003241.SH,20210129,SSE,0.5585,0.5585,0.5566,0.5568,0.527,0.5465,0.5496,57.0,30.7467,34.0
10003240.SH,20210129,SSE,1.2189,1.2204,1.2374,1.2653,1.2374,1.2437,1.2437,15.0,18.6273,149.0
10003239.SH,20210129,SSE,1.0138,1.017,0.9847,1.0706,0.9763,1.0297,1.0297,176.0,178.6715,458.0
10003238.SH,20210129,SSE,0.8154,0.8179,0.7797,0.8637,0.778,0.8292,0.8292,146.0,118.2061,200.0
10003237.SH,20210129,SSE,0.6281,0.6281,0.6027,0.6839,0.5986,0.6447,0.6447,645.0,403.9084,375.0
10003236.SH,20210129,SSE,0.4715,0.4715,0.4539,0.5183,0.4394,0.4818,0.4818,924.0,423.509,740.0
10003235.SH,20210129,SSE,0.3364,0.3364,0.3201,0.3769,0.31,0.3504,0.3504,2176.0,747.0719,797.0
10003234.SH,20210129,SSE,0.2263,0.2263,0.214,0.2616,0.2061,0.2362,0.2362,1362.0,308.6073,842.0
10003233.SH,20210129,SSE,0.1911,0.1911,0.173,0.2239,0.173,0.1987,0.1987,740.0,145.2982,889.0
10003232.SH,20210129,SSE,0.158,0.158,0.1463,0.1876,0.1432,0.1666,0.1666,2405.0,395.2305,2544.0
10003231.SH,20210129,SSE,0.0925,0.0925,0.0915,0.1018,0.0876,0.0942,0.093,1533.0,144.2256,1070.0
10003230.SH,20210129,SSE,0.1258,0.1258,0.1249,0.14,0.1184,0.123,0.123,547.0,70.1937,765.0
10003229.SH,20210129,SSE,0.1746,0.1746,0.1744,0.1901,0.1597,0.1705,0.1692,793.0,137.5198,568.0
10003228.SH,20210129,SSE,0.2379,0.2379,0.2584,0.2584,0.2179,0.2319,0.2319,504.0,117.8597,564.0
10003227.SH,20210129,SSE,0.3269,0.32,0.34,0.342,0.295,0.3137,0.3137,1303.0,423.0769,1015.0
10003226.SH,20210129,SSE,0.4365,0.4365,0.4556,0.4556,0.3982,0.422,0.4222,889.0,380.9157,657.0
10003225.SH,20210129,SSE,0.5748,0.5748,0.5964,0.5964,0.527,0.5573,0.5573,400.0,230.086,540.0
10003224.SH,20210129,SSE,0.6392,0.6335,0.6609,0.6649,0.5862,0.6241,0.6241,239.0,151.4538,305.0
10003223.SH,20210129,SSE,0.7053,0.7053,0.7307,0.734,0.6509,0.6906,0.6906,267.0,187.9649,424.0
