trade_date,etf_code,open,high,low,close,adj_close,volume,amount
2022-09-19,159915,2.292,2.318,2.27,2.285,2.285,3991607.04,915197.464
2022-09-20,159915,2.295,2.327,2.285,2.297,2.297,3602172.0,830485.845
2022-09-21,159915,2.284,2.289,2.256,2.265,2.265,5211842.89,1181944.144
2022-09-22,159915,2.25,2.28,2.236,2.252,2.252,3672889.84,828818.165
2022-09-23,159915,2.245,2.268,2.209,2.239,2.239,5317416.68,1189493.314
2022-09-26,159915,2.226,2.288,2.22,2.253,2.253,5280029.75,1194645.335
2022-09-27,159915,2.258,2.306,2.258,2.306,2.306,4788444.29,1091035.686
2022-09-28,159915,2.294,2.3,2.248,2.249,2.249,4647199.6,1052922.692
2022-09-29,159915,2.269,2.288,2.251,2.267,2.267,4075693.26,925354.891
2022-09-30,159915,2.259,2.276,2.219,2.221,2.221,4371563.67,982234.934
2022-10-10,159915,2.219,2.232,2.166,2.166,2.166,4171627.07,915088.739
2022-10-11,159915,2.183,2.206,2.176,2.192,2.192,3940142.49,863598.84
2022-10-12,159915,2.191,2.275,2.169,2.274,2.274,7392729.78,1644065.088
2022-10-13,159915,2.255,2.305,2.252,2.282,2.282,5962607.79,1363147.675
2022-10-14,159915,2.315,2.38,2.297,2.365,2.365,6671159.77,1559025.001
2022-10-17,159915,2.349,2.375,2.333,2.362,2.362,3898715.12,918318.76
2022-10-18,159915,2.38,2.397,2.355,2.373,2.373,4509611.67,1071043.942
2022-10-19,159915,2.366,2.39,2.351,2.355,2.355,4024150.44,953362.761
2022-10-20,159915,2.34,2.375,2.296,2.337,2.337,6670186.98,1556557.604
2022-10-21,159915,2.337,2.342,2.31,2.321,2.321,4429153.41,1030042.924
2022-10-24,159915,2.323,2.348,2.253,2.266,2.266,7715407.69,1771918.161
2022-10-25,159915,2.252,2.279,2.214,2.241,2.241,6661030.65,1496709.733
2022-10-26,159915,2.251,2.329,2.251,2.302,2.302,6719578.5,1543143.214
2022-10-27,159915,2.319,2.32,2.265,2.265,2.265,5303539.94,1214527.195
2022-10-28,159915,2.247,2.259,2.179,2.187,2.187,7321985.5,1625576.083
2022-10-31,159915,2.166,2.231,2.164,2.202,2.202,6828842.0,1503479.168
2022-11-01,159915,2.208,2.275,2.186,2.275,2.275,7625569.02,1699347.631
2022-11-02,159915,2.261,2.325,2.256,2.305,2.305,7214614.96,1655586.783
2022-11-03,159915,2.283,2.316,2.283,2.309,2.309,6292291.71,1449665.101
2022-11-04,159915,2.307,2.394,2.304,2.383,2.383,6868598.59,1620339.903
2022-11-07,159915,2.372,2.4,2.36,2.379,2.379,5431514.68,1292475.455
2022-11-08,159915,2.379,2.386,2.341,2.363,2.363,4922189.0,1162296.853
2022-11-09,159915,2.356,2.362,2.326,2.326,2.326,5089810.25,1190843.694
2022-11-10,159915,2.313,2.321,2.276,2.288,2.288,7389731.67,1697717.815
2022-11-11,159915,2.4,2.4,2.33,2.33,2.33,10301880.96,2423406.668
2022-11-14,159915,2.333,2.345,2.296,2.302,2.302,5736870.99,1332197.395
2022-11-15,159915,2.297,2.362,2.287,2.361,2.361,6900639.41,1607887.432
2022-11-16,159915,2.359,2.372,2.327,2.33,2.33,5663526.02,1328655.95
2022-11-17,159915,2.322,2.322,2.281,2.316,2.316,6296815.85,1446037.62
2022-11-18,159915,2.317,2.348,2.312,2.315,2.315,7439798.8,1733414.577
2022-11-21,159915,2.298,2.32,2.291,2.319,2.319,3815405.53,879699.282
2022-11-22,159915,2.312,2.316,2.263,2.273,2.273,5982902.64,1368854.747
2022-11-23,159915,2.269,2.288,2.233,2.269,2.269,5826873.05,1317378.8
2022-11-24,159915,2.276,2.289,2.262,2.264,2.264,3179765.23,723242.428
2022-11-25,159915,2.261,2.261,2.238,2.242,2.242,3409458.98,766181.308
2022-11-28,159915,2.203,2.235,2.197,2.233,2.233,4870885.84,1077709.96
2022-11-29,159915,2.233,2.28,2.228,2.268,2.268,6475878.55,1462123.787
2022-11-30,159915,2.266,2.277,2.255,2.265,2.265,4449865.89,1007896.822
2022-12-01,159915,2.312,2.332,2.308,2.311,2.311,6205197.05,1439503.784
2022-12-02,159915,2.31,2.339,2.302,2.316,2.316,4384054.9,1018348.443
2022-12-05,159915,2.327,2.334,2.298,2.313,2.313,7615324.95,1758129.142
2022-12-06,159915,2.301,2.346,2.299,2.319,2.319,4939916.0,1147772.47
2022-12-07,159915,2.311,2.359,2.308,2.343,2.343,7450582.14,1744170.477
2022-12-08,159915,2.337,2.351,2.326,2.338,2.338,3043366.19,711782.39
2022-12-09,159915,2.337,2.353,2.323,2.348,2.348,3583371.53,837521.12
