option_code,trade_date,close,volume,amount,open_interest
90000335.SZ,2021-01-04,1.0175,102.0,104.970878,383.0
90000336.SZ,2021-01-04,0.925,7.0,6.368238,247.0
90000337.SZ,2021-01-04,0.832,51.0,43.092628,310.0
90000338.SZ,2021-01-04,0.74,1.0,0.76442,109.0
90000339.SZ,2021-01-04,0.638,10.0,6.272583,304.0
90000340.SZ,2021-01-04,0.5626,13.0,7.50929,210.0
90000341.SZ,2021-01-04,0.4775,19.0,9.259296,355.0
90000342.SZ,2021-01-04,0.3042,368.0,111.629492,1000.0
90000343.SZ,2021-01-04,0.1949,211.0,37.979175,1385.0
90000344.SZ,2021-01-04,0.0085,231.0,2.004846,884.0
90000345.SZ,2021-01-04,0.0111,123.0,1.528633,561.0
90000346.SZ,2021-01-04,0.0153,183.0,3.042805,625.0
90000347.SZ,2021-01-04,0.0215,33.0,0.756982,500.0
90000348.SZ,2021-01-04,0.028,247.0,7.834272,616.0
90000349.SZ,2021-01-04,0.0411,204.0,8.644247,549.0
90000350.SZ,2021-01-04,0.0554,106.0,6.543642,750.0
90000351.SZ,2021-01-04,0.1199,280.0,39.732692,1015.0
90000352.SZ,2021-01-04,0.2394,141.0,35.809565,908.0
90000353.SZ,2021-01-04,1.2,26.0,31.386569,485.0
90000354.SZ,2021-01-04,1.0546,70.0,76.334465,459.0
90000355.SZ,2021-01-04,0.0043,350.0,1.761575,5489.0
90000356.SZ,2021-01-04,0.0057,332.0,2.095647,4101.0
90000357.SZ,2021-01-04,0.112,196.0,21.515117,1701.0
90000358.SZ,2021-01-04,0.3915,17.0,7.505365,525.0
90000359.SZ,2021-01-04,0.0602,539.0,33.649562,2743.0
90000360.SZ,2021-01-04,0.5842,13.0,7.881687,940.0
90000439.SZ,2021-01-04,1.0778,11.0,11.6945,570.0
90000440.SZ,2021-01-04,0.9817,8.0,7.7284,142.0
90000441.SZ,2021-01-04,0.8755,15.0,12.3495,110.0
90000442.SZ,2021-01-04,0.7995,31.0,23.2455,229.0
90000443.SZ,2021-01-04,0.6827,23.0,15.2053,172.0
90000444.SZ,2021-01-04,0.6123,23.0,13.5593,383.0
90000445.SZ,2021-01-04,0.5101,81.0,37.4078,374.0
90000446.SZ,2021-01-04,0.435,255.0,104.9552,917.0
90000447.SZ,2021-01-04,0.3579,595.0,206.83,1552.0
90000448.SZ,2021-01-04,0.0066,383.0,2.6524,2720.0
90000449.SZ,2021-01-04,0.0095,188.0,1.811,2636.0
90000450.SZ,2021-01-04,0.0123,95.0,1.3272,439.0
90000451.SZ,2021-01-04,0.0174,293.0,5.4323,972.0
90000452.SZ,2021-01-04,0.0238,281.0,7.2108,1481.0
90000453.SZ,2021-01-04,0.0346,560.0,20.6176,1641.0
90000454.SZ,2021-01-04,0.0473,529.0,27.5302,999.0
90000455.SZ,2021-01-04,0.0679,1385.0,102.1699,1345.0
90000456.SZ,2021-01-04,0.0934,1005.0,104.7543,1981.0
90000463.SZ,2021-01-04,0.2242,1075.0,207.4138,2905.0
