option_code,underlying_etf,option_type,strike,expiry
90001291.SZ,159922,C,5.0,2022-10-26
90001292.SZ,159922,C,5.25,2022-10-26
90001293.SZ,159922,C,5.5,2022-10-26
90001294.SZ,159922,C,5.75,2022-10-26
90001295.SZ,159922,C,6.0,2022-10-26
90001296.SZ,159922,C,6.25,2022-10-26
90001297.SZ,159922,C,6.5,2022-10-26
90001298.SZ,159922,C,6.75,2022-10-26
90001299.SZ,159922,C,7.0,2022-10-26
90001300.SZ,159922,P,5.0,2022-10-26
90001301.SZ,159922,P,5.25,2022-10-26
90001302.SZ,159922,P,5.5,2022-10-26
90001303.SZ,159922,P,5.75,2022-10-26
90001304.SZ,159922,P,6.0,2022-10-26
90001305.SZ,159922,P,6.25,2022-10-26
90001306.SZ,159922,P,6.5,2022-10-26
90001307.SZ,159922,P,6.75,2022-10-26
90001308.SZ,159922,P,7.0,2022-10-26
90001309.SZ,159922,C,5.0,2022-11-23
90001310.SZ,159922,C,5.25,2022-11-23
90001311.SZ,159922,C,5.5,2022-11-23
90001312.SZ,159922,C,5.75,2022-11-23
90001313.SZ,159922,C,6.0,2022-11-23
90001314.SZ,159922,C,6.25,2022-11-23
90001315.SZ,159922,C,6.5,2022-11-23
90001316.SZ,159922,C,6.75,2022-11-23
90001317.SZ,159922,C,7.0,2022-11-23
90001318.SZ,159922,P,5.0,2022-11-23
90001319.SZ,159922,P,5.25,2022-11-23
90001320.SZ,159922,P,5.5,2022-11-23
90001321.SZ,159922,P,5.75,2022-11-23
90001322.SZ,159922,P,6.0,2022-11-23
90001323.SZ,159922,P,6.25,2022-11-23
90001324.SZ,159922,P,6.5,2022-11-23
90001325.SZ,159922,P,6.75,2022-11-23
90001326.SZ,159922,P,7.0,2022-11-23
90001327.SZ,159922,C,5.0,2022-12-28
90001328.SZ,159922,C,5.25,2022-12-28
90001329.SZ,159922,C,5.5,2022-12-28
90001330.SZ,159922,C,5.75,2022-12-28
90001331.SZ,159922,C,6.0,2022-12-28
90001332.SZ,159922,C,6.25,2022-12-28
90001333.SZ,159922,C,6.5,2022-12-28
90001334.SZ,159922,C,6.75,2022-12-28
90001335.SZ,159922,C,7.0,2022-12-28
90001336.SZ,159922,P,5.0,2022-12-28
90001337.SZ,159922,P,5.25,2022-12-28
90001338.SZ,159922,P,5.5,2022-12-28
90001339.SZ,159922,P,5.75,2022-12-28
90001340.SZ,159922,P,6.0,2022-12-28
90001341.SZ,159922,P,6.25,2022-12-28
90001342.SZ,159922,P,6.5,2022-12-28
90001343.SZ,159922,P,6.75,2022-12-28
90001344.SZ,159922,P,7.0,2022-12-28
90001345.SZ,159922,C,5.0,2023-03-22
90001346.SZ,159922,C,5.25,2023-03-22
90001347.SZ,159922,C,5.5,2023-03-22
90001348.SZ,159922,C,5.75,2023-03-22
90001349.SZ,159922,C,6.0,2023-03-22
90001350.SZ,159922,C,6.25,2023-03-22
90001351.SZ,159922,C,6.5,2023-03-22
90001352.SZ,159922,C,6.75,2023-03-22
90001353.SZ,159922,C,7.0,2023-03-22
90001354.SZ,159922,P,5.0,2023-03-22
90001355.SZ,159922,P,5.25,2023-03-22
90001356.SZ,159922,P,5.5,2023-03-22
90001357.SZ,159922,P,5.75,2023-03-22
90001358.SZ,159922,P,6.0,2023-03-22
90001359.SZ,159922,P,6.25,2023-03-22
90001360.SZ,159922,P,6.5,2023-03-22
