etf_code,sleeve_name,selector_type,rule_label,coverage,target_delta,target_moneyness
510300,510300_DTE30_D40_Q70_Hold,target_delta,D40,0.7,0.4,
510300,510300_DTE30_ATM_Q70_Hold,moneyness,ATM,0.7,,0.0
510300,510300_DTE30_OTM1_Q70_Hold,moneyness,OTM1,0.7,,0.01
510300,510300_DTE30_OTM2_Q70_Hold,moneyness,OTM2,0.7,,0.02
510300,510300_DTE30_OTM3_Q70_Hold,moneyness,OTM3,0.7,,0.03
510300,510300_DTE30_OTM4_Q70_Hold,moneyness,OTM4,0.7,,0.04
510300,510300_DTE30_OTM5_Q70_Hold,moneyness,OTM5,0.7,,0.05
510300,510300_DTE30_OTM7_Q70_Hold,moneyness,OTM7,0.7,,0.07
510050,510050_DTE30_D40_Q70_Hold,target_delta,D40,0.7,0.4,
510050,510050_DTE30_ATM_Q70_Hold,moneyness,ATM,0.7,,0.0
510050,510050_DTE30_OTM1_Q70_Hold,moneyness,OTM1,0.7,,0.01
510050,510050_DTE30_OTM2_Q70_Hold,moneyness,OTM2,0.7,,0.02
510050,510050_DTE30_OTM3_Q70_Hold,moneyness,OTM3,0.7,,0.03
510050,510050_DTE30_OTM4_Q70_Hold,moneyness,OTM4,0.7,,0.04
510050,510050_DTE30_OTM5_Q70_Hold,moneyness,OTM5,0.7,,0.05
510050,510050_DTE30_OTM7_Q70_Hold,moneyness,OTM7,0.7,,0.07
