source_experiment,etf_code,sleeve_name,classification,recommendation_status,annualized_return_cagr,sharpe_daily_mean,max_drawdown,option_leg_annualized_pnl_contribution,premium_capture_ratio_agg,payoff_burden_agg,p99_short_call_mtm_loss,option_leg_positive,reason,caveat,source_file,beats_buyhold_return,beats_buyhold_sharpe,improves_buyhold_mdd,passes_execution_check,annualized_volatility,return_not_materially_worse,return_sacrifice_vs_buyhold
ver3_0_stepA_single_etf_sleeves,159915,159915_ETF_BuyHold,Pure ETF Preferred,backup_for_portfolio_layer,0.1766375353617579,0.6702769349906644,0.4087504927079223,0.0,,,0.0,False,ETF-only baseline for comparison.,No option leg.,outputs/ver3_0_stepA_single_etf_sleeves/summary/ver3_0_stepA_sleeve_classification_table.csv,True,True,True,True,,,
ver3_0_stepA_single_etf_sleeves,159915,159915_DTE30_D40_Q100_Hold,Stress Test Only,diagnostic_only,0.1082395190775613,0.6372662754172195,0.293758691735,-0.0907138057283969,-0.3909932317678875,1.3654932317678905,0.1690314353499409,False,Q100 is retained as a full-coverage stress test.,Do not promote by default even when in-sample metrics look good.,outputs/ver3_0_stepA_single_etf_sleeves/summary/ver3_0_stepA_sleeve_classification_table.csv,False,False,True,True,,,
ver3_0_stepA_single_etf_sleeves,159915,159915_DTE30_OTM5up_Q50_Hold,Defensive Overlay,primary_for_portfolio_layer,0.1580198809533903,0.7224810714784208,0.3865037917772869,-0.0350557307911543,-0.6554730847497399,1.629973084749745,0.0743769276393832,False,"Net option leg is not positive, but drawdown improves enough with similar Sharpe.","Use as risk-control sleeve, not income enhancement.",outputs/ver3_0_stepA_single_etf_sleeves/summary/ver3_0_stepA_sleeve_classification_table.csv,False,True,True,True,,,
ver3_0_stepA_single_etf_sleeves,159915,159915_DTE30_OTM5up_Q100_Hold,Stress Test Only,diagnostic_only,0.1244244321554051,0.6441299306208238,0.3676846528367775,-0.0701114615823086,-0.6554730847497399,1.629973084749745,0.1487538552787665,False,Q100 is retained as a full-coverage stress test.,Do not promote by default even when in-sample metrics look good.,outputs/ver3_0_stepA_single_etf_sleeves/summary/ver3_0_stepA_sleeve_classification_table.csv,False,False,True,True,,,
ver3_0_stepA_single_etf_sleeves,159915,159915_DTE30_OTM5up_Q50_TP80,Diagnostic Only,diagnostic_only,0.1660249733496515,0.7463928197935858,0.3889796587343167,-0.0276716034662265,-0.5174044549816128,1.4891379626814307,0.0743769276393832,False,TP80 close-and-wait is a path-management diagnostic.,Closed cycles wait to original expiry; no immediate rewrite.,outputs/ver3_0_stepA_single_etf_sleeves/summary/ver3_0_stepA_sleeve_classification_table.csv,False,True,True,True,,,
ver3_0_stepA_single_etf_sleeves,159915,159915_DTE30_OTM5up_Q100_TP80,Stress Test Only,diagnostic_only,0.1401689426061241,0.6986749259082754,0.372777179261559,-0.0553432069324531,-0.5174044549816128,1.4891379626814307,0.1487538552787665,False,Q100 is retained as a full-coverage stress test.,Do not promote by default even when in-sample metrics look good.,outputs/ver3_0_stepA_single_etf_sleeves/summary/ver3_0_stepA_sleeve_classification_table.csv,False,True,True,True,,,
ver3_0_stepA_single_etf_sleeves,159915,159915_DTE30_OTM5up_Q50_TouchK,Stress Test Only,diagnostic_only,0.1626162610304855,0.6475771546234903,0.3993618786902783,-0.016195581929577,-0.3028254669668884,1.2460356656808664,0.0062385533261037,False,Touch-K is retained as rejected appendix diagnostic.,Not a default portfolio-layer sleeve.,outputs/ver3_0_stepA_single_etf_sleeves/summary/ver3_0_stepA_sleeve_classification_table.csv,False,False,True,True,,,
ver3_0_stepA_single_etf_sleeves,510300,510300_ETF_BuyHold,Pure ETF Preferred,rejected,0.0619982961814993,0.4310663467708595,0.2418549346016635,0.0,,,0.0,False,ETF-only baseline for comparison.,No option leg.,outputs/ver3_0_stepA_single_etf_sleeves/summary/ver3_0_stepA_sleeve_classification_table.csv,True,True,True,True,,,
ver3_0_stepA_single_etf_sleeves,510300,510300_DTE30_ATM_Q100_Hold,Stress Test Only,diagnostic_only,0.0738434553695277,0.7597667877017306,0.1283347811559818,0.000754623996188,0.003372328987205,0.9711276710127974,0.0735181318681318,True,Q100 is retained as a full-coverage stress test.,Do not promote by default even when in-sample metrics look good.,outputs/ver3_0_stepA_single_etf_sleeves/summary/ver3_0_stepA_sleeve_classification_table.csv,True,True,True,True,,,
ver3_0_stepA_single_etf_sleeves,510300,510300_DTE30_D40_Q50_Hold,Positive Carry Overlay,backup_for_portfolio_layer,0.0732627803354455,0.5782784454826436,0.1893374329235755,0.004910348925371,0.0649201693780609,0.909579830621942,0.030309478021978,True,Net option leg is positive while Sharpe and drawdown are at least as good as BuyHold.,Still sample-limited and not an arbitrage claim.,outputs/ver3_0_stepA_single_etf_sleeves/summary/ver3_0_stepA_sleeve_classification_table.csv,True,True,True,True,,,
ver3_0_stepA_single_etf_sleeves,510300,510300_DTE30_D40_Q70_Hold,Positive Carry Overlay,primary_for_portfolio_layer,0.0769978555832706,0.6449520606698768,0.1718763984229173,0.0068744884955194,0.0649201693780609,0.9095798306219424,0.0424332692307692,True,Net option leg is positive while Sharpe and drawdown are at least as good as BuyHold.,Still sample-limited and not an arbitrage claim.,outputs/ver3_0_stepA_single_etf_sleeves/summary/ver3_0_stepA_sleeve_classification_table.csv,True,True,True,True,,,
ver3_0_stepA_single_etf_sleeves,510300,510300_DTE30_D40_Q100_Hold,Stress Test Only,diagnostic_only,0.0817620149473512,0.737149341761305,0.1483936644646655,0.009820697850742,0.0649201693780609,0.909579830621942,0.060618956043956,True,Q100 is retained as a full-coverage stress test.,Do not promote by default even when in-sample metrics look good.,outputs/ver3_0_stepA_single_etf_sleeves/summary/ver3_0_stepA_sleeve_classification_table.csv,True,True,True,True,,,
