source_experiment,source_file,etf_code,sleeve_name,display_name,sample_scope,sample_start,sample_end,moneyness_label,moneyness_axis,avg_realized_moneyness,median_realized_moneyness,coverage_label,coverage_axis,avg_active_coverage,avg_entry_delta,median_entry_delta,annualized_return_cagr,sharpe_daily_mean,max_drawdown,option_leg_annualized_pnl_contribution,classification,recommendation_status,point_role,notes,reason,caveat,n_trading_days,arithmetic_annualized_return,annualized_volatility,cagr_vol_ratio,sortino_ratio,calmar_ratio,monthly_win_rate,premium_capture_ratio_agg,payoff_burden_agg,premium_capture_ratio_period_mean,payoff_burden_period_mean,positive_option_leg_period_rate,assignment_rate,p95_short_call_mtm_loss,p99_short_call_mtm_loss,max_short_call_mtm_loss,avg_actual_dte,gap_periods,early_close_rate,cumulative_return,max_drawdown_start,max_drawdown_trough,max_drawdown_recovery,drawdown_duration,worst_month_return,best_month_return
ver3_0_stepA_single_etf_sleeves,outputs/ver3_0_stepA_single_etf_sleeves/summary/ver3_0_stepA_single_etf_sleeve_summary.csv,159915,159915_DTE30_D40_Q100_Hold,159915 D40_Q100,common_portfolio_sample,2022-09-19,2026-05-27,Delta 40,0.0218407855834636,0.0212035065086027,0.0218407855834636,Q100,1.0,1.0,0.3999137848070514,0.4001996374537553,0.1082395190775613,0.6372662754172195,0.293758691735,-0.0907138057283969,Stress Test Only,diagnostic_only,diagnostic,near-delta diagnostic stress test,Q100 is retained as a full-coverage stress test.,Do not promote by default even when in-sample metrics look good.,890,0.120855834421382,0.1896473092699869,0.5707411272757301,1.0345682364680489,0.3684640561212886,0.6136363636363636,-0.3909932317678875,1.3654932317678905,-0.3734525043228755,1.3479525043228784,0.7045454545454546,0.3636363636363636,0.0488898458020928,0.1690314353499409,0.5159549228944247,29.613636363636363,0,0.0,,,,,,,
ver3_0_stepA_single_etf_sleeves,outputs/ver3_0_stepA_single_etf_sleeves/summary/ver3_0_stepA_single_etf_sleeve_summary.csv,159915,159915_DTE30_OTM5up_Q50_TP80,159915 OTM5up_Q50_TP80,common_portfolio_sample,2022-09-19,2026-05-27,OTM +5%,0.0621260846987554,0.0631153810706109,0.0621260846987554,Q50,0.3179775280898876,0.3179775280898876,0.2025380324511793,0.1922907766456512,0.1660249733496515,0.7463928197935858,0.3889796587343167,-0.0276716034662265,Diagnostic Only,diagnostic_only,diagnostic,TP80 path-management diagnostic,TP80 close-and-wait is a path-management diagnostic.,Closed cycles wait to original expiry; no immediate rewrite.,890,0.1838784773390576,0.2463561712583316,0.6739225264852651,1.366249862736278,0.426821736359872,0.5,-0.5174044549816128,1.4891379626814307,-0.1986450706196936,1.1700092855134634,0.8636363636363636,0.1590909090909091,0.0118120944891906,0.0743769276393832,0.2511269276393831,29.613636363636363,0,0.8409090909090909,,,,,,,
ver3_0_stepA_single_etf_sleeves,outputs/ver3_0_stepA_single_etf_sleeves/summary/ver3_0_stepA_single_etf_sleeve_summary.csv,159915,159915_DTE30_OTM5up_Q50_TouchK,159915 OTM5up_Q50_TouchK,common_portfolio_sample,2022-09-19,2026-05-27,OTM +5%,0.0621260846987554,0.0631153810706109,0.0621260846987554,Q50,0.4078651685393258,0.4078651685393258,0.2025380324511793,0.1922907766456512,0.1626162610304855,0.6475771546234903,0.3993618786902783,-0.016195581929577,Stress Test Only,diagnostic_only,diagnostic,Touch-K rejected appendix diagnostic,Touch-K is retained as rejected appendix diagnostic.,Not a default portfolio-layer sleeve.,890,0.1953674077863215,0.3016897776449675,0.5390181341240354,1.1951368898761805,0.4071902445065399,0.4772727272727273,-0.3028254669668884,1.2460356656808664,-0.2512698209885016,1.196025703621716,0.6590909090909091,0.0,0.0027480166022598,0.0062385533261037,0.0137898686679174,29.613636363636363,0,0.3863636363636363,,,,,,,
ver3_0_stepA_single_etf_sleeves,outputs/ver3_0_stepA_single_etf_sleeves/summary/ver3_0_stepA_single_etf_sleeve_summary.csv,159915,159915_DTE30_OTM5up_Q50_Hold,159915 OTM5up_Q50,common_portfolio_sample,2022-09-19,2026-05-27,OTM +5%,0.0621260846987554,0.0631153810706109,0.0621260846987554,Q50,0.5,0.5,0.2025380324511793,0.1922907766456512,0.1580198809533903,0.7224810714784208,0.3865037917772869,-0.0350557307911543,Defensive Overlay,primary_for_portfolio_layer,primary,high-beta OTM candidate,"Net option leg is not positive, but drawdown improves enough with similar Sharpe.","Use as risk-control sleeve, not income enhancement.",890,0.1764860439091522,0.2442777407967339,0.6468861241224609,1.3149096121753725,0.4088443226565947,0.5,-0.6554730847497399,1.629973084749745,-0.4936788714856437,1.468178871485649,0.8181818181818182,0.25,0.0137603170954178,0.0743769276393832,0.2511269276393831,29.613636363636363,0,0.0,,,,,,,
ver3_0_stepA_single_etf_sleeves,outputs/ver3_0_stepA_single_etf_sleeves/summary/ver3_0_stepA_single_etf_sleeve_summary.csv,159915,159915_DTE30_OTM5up_Q100_TP80,159915 OTM5up_Q100_TP80,common_portfolio_sample,2022-09-19,2026-05-27,OTM +5%,0.0621260846987554,0.0631153810706109,0.0621260846987554,Q100,0.6359550561797753,0.6359550561797753,0.2025380324511793,0.1922907766456512,0.1401689426061241,0.6986749259082754,0.372777179261559,-0.0553432069324531,Stress Test Only,diagnostic_only,diagnostic,high-coverage TP80 stress test,Q100 is retained as a full-coverage stress test.,Do not promote by default even when in-sample metrics look good.,890,0.1562197183326289,0.2235942818894549,0.6268896566658341,1.2115864318420373,0.3760126703136368,0.5,-0.5174044549816128,1.4891379626814307,-0.1986450706196936,1.1700092855134634,0.8636363636363636,0.1590909090909091,0.0236241889783813,0.1487538552787665,0.5022538552787663,29.613636363636363,0,0.8409090909090909,,,,,,,
ver3_0_stepA_single_etf_sleeves,outputs/ver3_0_stepA_single_etf_sleeves/summary/ver3_0_stepA_single_etf_sleeve_summary.csv,159915,159915_DTE30_OTM5up_Q100_Hold,159915 OTM5up_Q100,common_portfolio_sample,2022-09-19,2026-05-27,OTM +5%,0.0621260846987554,0.0631153810706109,0.0621260846987554,Q100,1.0,1.0,0.2025380324511793,0.1922907766456512,0.1244244321554051,0.6441299306208238,0.3676846528367775,-0.0701114615823086,Stress Test Only,diagnostic_only,diagnostic,high-coverage stress test,Q100 is retained as a full-coverage stress test.,Do not promote by default even when in-sample metrics look good.,890,0.1414348514728184,0.2195750340874566,0.566660197378573,1.10367377182324,0.3383998521435148,0.5,-0.6554730847497399,1.629973084749745,-0.4936788714856437,1.468178871485649,0.8181818181818182,0.25,0.0275206341908356,0.1487538552787665,0.5022538552787663,29.613636363636363,0,0.0,,,,,,,
ver3_0_stepA_extension_510050_sleeve_clarification,outputs/ver3_0_stepA_extension_510050_sleeve_clarification/summary/ver3_0_stepA_extension_510050_sleeve_summary.csv,510050,510050_DTE30_ATM_Q100_Hold,510050 ATM_Q100,common_portfolio_sample,2022-09-19,2026-05-27,ATM,-0.0009804551019561,-0.0003832612898528,-0.0009804551019561,Q100,1.0,1.0,0.5277215933374235,0.5325851042006456,0.0614789756338669,0.6954509998250282,0.1032484031391877,0.0218350568567073,Stress / Diagnostic Only,diagnostic_only,diagnostic,ATM full coverage stress diagnostic,"Q100 is retained as a stress diagnostic, not a default sleeve.",Do not promote Q100 by default.,890,0.0638949918319183,0.0918756200623681,0.6691544023554131,1.0538357500181637,0.5954472298325817,0.7045454545454546,0.0921327892217356,0.8823672107782671,0.0356092283231111,0.9388907716768916,0.6818181818181818,0.5681818181818182,0.0272711002922959,0.0916245967741935,0.1789112903225806,30.38636363636364,0,0.0,0.2342685110899012,2022-09-20,2022-10-31,2023-07-13,194.0,-0.0886563073022806,0.0710898496921614
ver3_0_stepA_extension_510050_sleeve_clarification,outputs/ver3_0_stepA_extension_510050_sleeve_clarification/summary/ver3_0_stepA_extension_510050_sleeve_summary.csv,510050,510050_DTE30_D40_Q50_Hold,510050 D40_Q50,common_portfolio_sample,2022-09-19,2026-05-27,Delta 40,0.0151805431650992,0.0139715327650809,0.0151805431650992,Q50,0.5,0.5,0.4068328500743159,0.4005536638408816,0.0424599952282438,0.3855386265876245,0.1670521388287906,0.0079283418955365,Positive Carry Overlay,backup_for_portfolio_layer,backup,medium coverage D40 candidate,Net option leg is positive while Sharpe improves and max drawdown is lower than BuyHold.,This is structural risk compensation with path and sample risk.,890,0.0499726337718039,0.1296177096808903,0.32757865674974,0.6451777846565948,0.2541721137240899,0.5454545454545454,0.1088299634742108,0.8656700365257932,0.114724326985561,0.8597756730144432,0.7045454545454546,0.4545454545454545,0.0107346308757205,0.0458122983870967,0.0894556451612903,30.38636363636364,0,0.0,0.1580026202935003,2023-01-20,2024-01-17,2024-09-30,408.0,-0.110433229397143,0.1135938558491744
ver3_0_stepA_extension_510050_sleeve_clarification,outputs/ver3_0_stepA_extension_510050_sleeve_clarification/summary/ver3_0_stepA_extension_510050_sleeve_summary.csv,510050,510050_DTE30_D40_Q70_Hold,510050 D40_Q70,common_portfolio_sample,2022-09-19,2026-05-27,Delta 40,0.0151805431650992,0.0139715327650809,0.0151805431650992,Q70,0.7,0.7,0.4068328500743159,0.4005536638408816,0.0472196362661978,0.4488270511954484,0.1469770109210938,0.0110996786537512,Positive Carry Overlay,primary_for_portfolio_layer,primary,main 510050 covered-call candidate,Net option leg is positive while Sharpe improves and max drawdown is lower than BuyHold.,This is structural risk compensation with path and sample risk.,890,0.053147537837958,0.1184142927579784,0.3987663580671626,0.7310991208990056,0.321272258636068,0.5909090909090909,0.1088299634742108,0.865670036525793,0.114724326985561,0.8597756730144432,0.7045454545454546,0.4545454545454545,0.0150284832260087,0.0641372177419355,0.1252379032258064,30.38636363636364,0,0.0,0.1767625114485478,2023-01-20,2024-01-17,2024-09-30,408.0,-0.1067368396046911,0.1055300033938586
ver3_0_stepA_extension_510050_sleeve_clarification,outputs/ver3_0_stepA_extension_510050_sleeve_clarification/summary/ver3_0_stepA_extension_510050_sleeve_summary.csv,510050,510050_DTE30_D40_Q100_Hold,510050 D40_Q100,common_portfolio_sample,2022-09-19,2026-05-27,Delta 40,0.0151805431650992,0.0139715327650809,0.0151805431650992,Q100,1.0,1.0,0.4068328500743159,0.4005536638408816,0.0536911073985826,0.547012816058177,0.1194591306557047,0.0158566837910731,Stress / Diagnostic Only,diagnostic_only,diagnostic,full coverage D40 stress diagnostic,"Q100 is retained as a stress diagnostic, not a default sleeve.",Do not promote Q100 by default.,890,0.0579098939371891,0.1058656986402859,0.5071624528830257,0.852032520526431,0.4494516836333481,0.6363636363636364,0.1088299634742108,0.8656700365257932,0.114724326985561,0.8597756730144432,0.7045454545454546,0.4545454545454545,0.021469261751441,0.0916245967741935,0.1789112903225806,30.38636363636364,0,0.0,0.2026175225682862,2022-09-19,2022-10-31,2023-01-13,311.0,-0.1011700717351773,0.0934278507685493
