surface_point_id,etf_code,sleeve_name,parameter_grid_role,sample_scope,sample_start,sample_end,n_trading_days,moneyness_label,target_moneyness,coverage,coverage_label,annualized_return_cagr,arithmetic_annualized_return,annualized_volatility,sharpe_daily_mean,sortino_ratio,calmar_ratio,max_drawdown,monthly_win_rate,worst_month_return,best_month_return,option_leg_annualized_pnl_contribution,premium_capture_ratio_agg,payoff_burden_agg,positive_option_leg_period_rate,assignment_rate,p95_short_call_mtm_loss,p99_short_call_mtm_loss,max_short_call_mtm_loss,avg_actual_dte,avg_realized_moneyness,median_realized_moneyness,selected_periods,skipped_periods,avg_active_coverage,annualized_return_cagr_vs_buyhold,sharpe_diff_vs_buyhold,mdd_improvement_vs_buyhold,option_leg_verdict,recommendation_read,source_engine
mny_daily_0001,159915,159915_DTE30_ATM_Q10_Hold,surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,ATM,0.0,0.1,Q10,0.1767184903337233,0.2056428257953989,0.2952240943024427,0.6965651847668232,1.2986788576901989,0.4513061123611853,0.3915712317946483,0.4772727272727273,-0.1608149215656973,0.3927949726367703,-0.0158920219698371,-0.4356328445092198,1.41013284450922,0.6136363636363636,0.5454545454545454,0.0065123966942148,0.0251739130434783,0.0634285714285714,30.34090909090909,-0.0016393267800932,-0.0024498267294932,44,0,0.0999999999999999,-0.0115052734720215,-0.0039004304803906,0.0171792609132753,negative option leg,drawdown cushion with visible return cost,continuous_30d_daily_mtm
mny_daily_0002,159915,159915_DTE30_ATM_Q20_Hold,surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,ATM,0.0,0.2,Q20,0.1647168528069336,0.1897327447096876,0.2745935203511927,0.6909585647433635,1.270111416798828,0.4394074029779169,0.3748613511985179,0.4772727272727273,-0.1538282673456761,0.3483240048253224,-0.0317840439396742,-0.4356328445092198,1.41013284450922,0.6136363636363636,0.5454545454545454,0.0130247933884297,0.0503478260869566,0.1268571428571428,30.34090909090909,-0.0016393267800932,-0.0024498267294932,44,0,0.1999999999999999,-0.0235069109988113,-0.0095070505038503,0.0338891415094058,negative option leg,drawdown cushion with visible return cost,continuous_30d_daily_mtm
mny_daily_0003,159915,159915_DTE30_ATM_Q30_Hold,surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,ATM,0.0,0.3,Q30,0.1522335755296433,0.1738226636239759,0.2545088458743672,0.6829729749738435,1.234379441431292,0.4240684799677344,0.3589834725307246,0.4772727272727273,-0.1467921956416126,0.3047241474770215,-0.0476760659095113,-0.43563284450922,1.41013284450922,0.6136363636363636,0.5454545454545454,0.0195371900826446,0.0755217391304349,0.1902857142857143,30.34090909090909,-0.0016393267800932,-0.0024498267294932,44,0,0.2999999999999999,-0.0359901882761015,-0.0174926402733703,0.0497670201771991,negative option leg,drawdown cushion with visible return cost,continuous_30d_daily_mtm
mny_daily_0004,159915,159915_DTE30_ATM_Q40_Hold,surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,ATM,0.0,0.4,Q40,0.1392835376246957,0.1579125825382635,0.2351100157054609,0.6716540002110835,1.1895351178211868,0.4063614890671752,0.342757720335233,0.4772727272727273,-0.1397064205160577,0.2619880576197626,-0.0635680878793484,-0.4356328445092198,1.41013284450922,0.6136363636363636,0.5454545454545454,0.0260495867768595,0.1006956521739132,0.2537142857142857,30.34090909090909,-0.0016393267800932,-0.0024498267294932,44,0,0.3999999999999999,-0.0489402261810492,-0.0288116150361303,0.0659927723726907,negative option leg,drawdown cushion with visible return cost,continuous_30d_daily_mtm
mny_daily_0005,159915,159915_DTE30_ATM_Q50_Hold,surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,ATM,0.0,0.5,Q50,0.1258817645187124,0.1420025014525507,0.2165813980678395,0.6556541915389771,1.1334610779874397,0.3859295359575993,0.326178104524611,0.4772727272727273,-0.1325706547861149,0.2201083297898236,-0.0794601098491855,-0.43563284450922,1.41013284450922,0.6136363636363636,0.5454545454545454,0.0325619834710743,0.1258695652173915,0.3171428571428571,30.34090909090909,-0.0016393267800932,-0.0024498267294932,44,0,0.5,-0.0623419992870324,-0.0448114237082367,0.0825723881833127,negative option leg,drawdown cushion with visible return cost,continuous_30d_daily_mtm
mny_daily_0006,159915,159915_DTE30_ATM_Q60_Hold,surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,ATM,0.0,0.6,Q60,0.1120434182295981,0.12609242036684,0.1991660115087312,0.6331021011650488,1.0639721808928206,0.3623203116418197,0.3092385787644203,0.4772727272727273,-0.1253846100203943,0.1790774975318008,-0.0953521318190226,-0.43563284450922,1.41013284450922,0.6136363636363636,0.5454545454545454,0.0390743801652892,0.1510434782608698,0.3805714285714286,30.34090909090909,-0.0016393267800932,-0.0024498267294932,44,0,0.5999999999999999,-0.0761803455761467,-0.067363514082165,0.0995119139435034,negative option leg,drawdown cushion with visible return cost,continuous_30d_daily_mtm
mny_daily_0007,159915,159915_DTE30_ATM_Q70_Hold,surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,ATM,0.0,0.7,Q70,0.097783786542211,0.1101823392811277,0.1831816419263958,0.6014922572066478,0.9787156433248616,0.3349527894448263,0.2919330413825919,0.4772727272727273,-0.1181479965359693,0.1388880349034109,-0.1112441537888597,-0.4356328445092199,1.4101328445092198,0.6136363636363636,0.5454545454545454,0.0455867768595041,0.1762173913043481,0.444,30.34090909090909,-0.0016393267800932,-0.0024498267294932,44,0,0.7000000000000001,-0.0904399772635338,-0.098973358040566,0.1168174513253318,negative option leg,drawdown cushion with visible return cost,continuous_30d_daily_mtm
mny_daily_0008,159915,159915_DTE30_ATM_Q80_Hold,surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,ATM,0.0,0.8,Q80,0.0831182711488525,0.0942722581954156,0.1690347401710155,0.5577093685004553,0.8760040553212028,0.3030689293385565,0.2742553363363803,0.5227272727272727,-0.1108605233953367,0.1070894125609263,-0.1271361757586969,-0.4356328445092198,1.41013284450922,0.6136363636363636,0.5454545454545454,0.052099173553719,0.2013913043478264,0.5074285714285715,30.34090909090909,-0.0016393267800932,-0.0024498267294932,44,0,0.7999999999999999,-0.1051054926568924,-0.1427562467467585,0.1344951563715434,negative option leg,drawdown cushion with visible return cost,continuous_30d_daily_mtm
mny_daily_0009,159915,159915_DTE30_ATM_Q90_Hold,surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,ATM,0.0,0.9,Q90,0.0680623748226056,0.0783621771097037,0.1572220992029852,0.498417064184676,0.7554569311557114,0.2656618772173519,0.2561992542381994,0.5454545454545454,-0.1035218984033868,0.1018860430479466,-0.143028197728534,-0.4356328445092199,1.4101328445092196,0.6136363636363636,0.5454545454545454,0.0586115702479338,0.2265652173913047,0.570857142857143,30.34090909090909,-0.0016393267800932,-0.0024498267294932,44,0,0.9000000000000002,-0.1201613889831392,-0.2020485510625378,0.1525512384697243,negative option leg,drawdown cushion with visible return cost,continuous_30d_daily_mtm
mny_daily_0010,159915,159915_DTE30_ATM_Q100_Hold,surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,ATM,0.0,1.0,Q100,0.0526316876836481,0.0624520960239925,0.1483025597155426,0.4211127315926385,0.6189810644636304,0.2089548016373866,0.2518807286131832,0.5454545454545454,-0.0961318281043797,0.0966836066320819,-0.1589202196983711,-0.43563284450922,1.41013284450922,0.6136363636363636,0.5454545454545454,0.0651239669421487,0.2517391304347831,0.6342857142857143,30.34090909090909,-0.0016393267800932,-0.0024498267294932,44,0,1.0,-0.1355920761220967,-0.2793528836545753,0.1568697640947405,negative option leg,drawdown cushion with visible return cost,continuous_30d_daily_mtm
