etf_code,best_metric_name,best_metric_label,surface_rule,moneyness_label,coverage_label,surface_point_id,sleeve_name,moneyness_axis,target_moneyness,avg_realized_moneyness,median_realized_moneyness,target_delta,avg_entry_delta,median_entry_delta,coverage,sample_start,sample_end,n_trading_days,n_periods,avg_actual_dte,avg_premium_return,source_detail,source_file_daily,source_file_period,source_quality,cumulative_return,annualized_return_cagr,arithmetic_annualized_return,annualized_volatility,sharpe_daily_mean,max_drawdown,calmar_ratio,option_leg_annualized_pnl_contribution
159915,sharpe_daily_mean,Sharpe,ATM,ATM,Q70,surface_0007,159915_DTE30_ATM_Q70_DynamicHold,-0.00183718671751225,0.0,0.00010297979586982934,-0.00183718671751225,,0.5223529505005509,0.5338556953625189,0.7,2022-09-19,2026-05-27,890,44.0,29.613636363636363,0.027085740064241384,ver2_6_stepA_available_rules,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_daily_paths.csv,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_period_paths.csv,510500/159915 当前 Step A 真实路径为 ATM、D40、OTM5_up；未新增 OTM 网格。,0.5831715527365784,0.1389261438177143,0.1472810600739559,0.184756433446776,0.797163364362,0.2926475287971907,0.47472173911296645,-0.06401849398349979
159915,annualized_return_cagr,CAGR,OTM5_up,OTM +5%,Q10,surface_0021,159915_DTE30_OTM5_up_Q10_DynamicHold,0.0621260846987554,0.05,0.06311538107061097,0.0621260846987554,,0.2025380324511793,0.19229077664565125,0.1,2022-09-19,2026-05-27,890,44.0,29.613636363636363,0.008585605849363822,ver2_6_stepA_available_rules,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_daily_paths.csv,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_period_paths.csv,510500/159915 当前 Step A 真实路径为 ATM、D40、OTM5_up；未新增 OTM 网格。,0.7619101597336655,0.17394928121289355,0.20428840789922487,0.298726272831739,0.6838648839377199,0.40238190007277275,0.43229897065805883,-0.007011146158230865
159915,max_drawdown,MDD,ATM,ATM,Q100,surface_0010,159915_DTE30_ATM_Q100_DynamicHold,-0.00183718671751225,0.0,0.00010297979586982934,-0.00183718671751225,,0.5223529505005509,0.5338556953625189,1.0,2022-09-19,2026-05-27,890,44.0,29.613636363636363,0.027085740064241384,ver2_6_stepA_available_rules,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_daily_paths.csv,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_period_paths.csv,510500/159915 当前 Step A 真实路径为 ATM、D40、OTM5_up；未新增 OTM 网格。,0.45186526714119757,0.11134474306657327,0.11984456265245602,0.1682501115371884,0.7123000487638115,0.24507583142406586,0.45432771734193733,-0.0914549914049997
159915,option_leg_annualized_pnl_contribution,Option leg,OTM5_up,OTM +5%,Q10,surface_0021,159915_DTE30_OTM5_up_Q10_DynamicHold,0.0621260846987554,0.05,0.06311538107061097,0.0621260846987554,,0.2025380324511793,0.19229077664565125,0.1,2022-09-19,2026-05-27,890,44.0,29.613636363636363,0.008585605849363822,ver2_6_stepA_available_rules,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_daily_paths.csv,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_period_paths.csv,510500/159915 当前 Step A 真实路径为 ATM、D40、OTM5_up；未新增 OTM 网格。,0.7619101597336655,0.17394928121289355,0.20428840789922487,0.298726272831739,0.6838648839377199,0.40238190007277275,0.43229897065805883,-0.007011146158230865
510050,sharpe_daily_mean,Sharpe,ATM,ATM,Q100,surface_0040,510050_DTE30_ATM_Q100_DynamicHold,-0.00098045510195615,0.0,-0.0003832612898528,-0.00098045510195615,,0.5277215933374235,0.5325851042006456,1.0,2022-09-19,2026-05-27,890,44.0,30.386363636363637,0.01899917547951038,ver2_1_dte30_full_rule_grid,outputs/ver2_downside_protection/ver2_1_dte_regime/ver2_1_daily_mtm.csv,outputs/ver2_downside_protection/ver2_1_dte_regime/ver2_1_periods_with_regime.csv,510050/510300 可用 ATM、OTM2、OTM5、D50、D40、D30、D20 七条真实 DTE30 选券路径。,0.23426851108990032,0.06140781933599149,0.0638210492771901,0.09180083640359223,0.695212067530713,0.1032484031391877,0.5947580540612185,0.021832906427632807
510050,annualized_return_cagr,CAGR,OTM2,OTM +2%,Q100,surface_0070,510050_DTE30_OTM2_Q100_DynamicHold,0.019273161579336402,0.02,0.020323917617080436,0.019273161579336402,,0.3471507331247656,0.35887116795988094,1.0,2022-09-19,2026-05-27,890,44.0,30.386363636363637,0.010929512875405849,ver2_1_dte30_full_rule_grid,outputs/ver2_downside_protection/ver2_1_dte_regime/ver2_1_daily_mtm.csv,outputs/ver2_downside_protection/ver2_1_dte_regime/ver2_1_periods_with_regime.csv,510050/510300 可用 ATM、OTM2、OTM5、D50、D40、D30、D20 七条真实 DTE30 选券路径。,0.2444674658969639,0.0638838540335056,0.06815180928480004,0.11153026963954436,0.6110611003188682,0.12080465854057076,0.5288194578361479,0.026163666435242757
510050,max_drawdown,MDD,D50,Delta 50,Q100,surface_0050,510050_DTE30_D50_Q100_DynamicHold,0.00464424930956515,,0.0036614201073158453,0.00464424930956515,0.5,0.4946315763554598,0.48665042869627273,1.0,2022-09-19,2026-05-27,890,44.0,30.386363636363637,0.017056224760448616,ver2_1_dte30_full_rule_grid,outputs/ver2_downside_protection/ver2_1_dte_regime/ver2_1_daily_mtm.csv,outputs/ver2_downside_protection/ver2_1_dte_regime/ver2_1_periods_with_regime.csv,510050/510300 可用 ATM、OTM2、OTM5、D50、D40、D30、D20 七条真实 DTE30 选券路径。,0.17810656232865862,0.04750386123121131,0.051039790504137955,0.09613184010203127,0.5309353326636206,0.10324840313918715,0.4600929388435411,0.009051647654580674
510050,option_leg_annualized_pnl_contribution,Option leg,OTM2,OTM +2%,Q100,surface_0070,510050_DTE30_OTM2_Q100_DynamicHold,0.019273161579336402,0.02,0.020323917617080436,0.019273161579336402,,0.3471507331247656,0.35887116795988094,1.0,2022-09-19,2026-05-27,890,44.0,30.386363636363637,0.010929512875405849,ver2_1_dte30_full_rule_grid,outputs/ver2_downside_protection/ver2_1_dte_regime/ver2_1_daily_mtm.csv,outputs/ver2_downside_protection/ver2_1_dte_regime/ver2_1_periods_with_regime.csv,510050/510300 可用 ATM、OTM2、OTM5、D50、D40、D30、D20 七条真实 DTE30 选券路径。,0.2444674658969639,0.0638838540335056,0.06815180928480004,0.11153026963954436,0.6110611003188682,0.12080465854057076,0.5288194578361479,0.026163666435242757
510300,sharpe_daily_mean,Sharpe,ATM,ATM,Q100,surface_0110,510300_DTE30_ATM_Q100_DynamicHold,0.00137140753764895,0.0,0.0008398285566092929,0.00137140753764895,,0.5130250759493543,0.5100086424763388,1.0,2022-09-19,2026-05-27,890,44.0,29.613636363636363,0.017961287518261055,ver2_6_stepA_available_rules,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_daily_paths.csv,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_period_paths.csv,510500/159915 当前 Step A 真实路径为 ATM、D40、OTM5_up；未新增 OTM 网格。,0.2850126169050977,0.07358565445957388,0.07606380643327937,0.10038268592037979,0.7577383065204158,0.12833478115598185,0.5733882412604555,0.0007546239961880495
510300,annualized_return_cagr,CAGR,OTM5_up,OTM +5%,Q100,surface_0130,510300_DTE30_OTM5_up_Q100_DynamicHold,0.06087762527184335,0.05,0.06257391381489678,0.06087762527184335,,0.11893412169732756,0.10757864218441121,1.0,2022-09-19,2026-05-27,890,44.0,29.613636363636363,0.0032004102640402184,ver2_6_stepA_available_rules,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_daily_paths.csv,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_period_paths.csv,510500/159915 当前 Step A 真实路径为 ATM、D40、OTM5_up；未新增 OTM 网格。,0.3543606735817797,0.08968270704252368,0.09635989105053587,0.14472868406819198,0.6657967746402909,0.2193126829071299,0.408926222841844,0.02105070861344459
