etf_code,moneyness_label,target_moneyness,coverage,strategy_name,available_periods,selected_periods,warnings
510300,ATM,0.0,0.1,510300_DTE30_ATM_Q10_MonthlyHold,44,44,
510300,ATM,0.0,0.2,510300_DTE30_ATM_Q20_MonthlyHold,44,44,
510300,ATM,0.0,0.3,510300_DTE30_ATM_Q30_MonthlyHold,44,44,
510300,ATM,0.0,0.4,510300_DTE30_ATM_Q40_MonthlyHold,44,44,
510300,ATM,0.0,0.5,510300_DTE30_ATM_Q50_MonthlyHold,44,44,
510300,ATM,0.0,0.6,510300_DTE30_ATM_Q60_MonthlyHold,44,44,
510300,ATM,0.0,0.7,510300_DTE30_ATM_Q70_MonthlyHold,44,44,
510300,ATM,0.0,0.8,510300_DTE30_ATM_Q80_MonthlyHold,44,44,
510300,ATM,0.0,0.9,510300_DTE30_ATM_Q90_MonthlyHold,44,44,
510300,ATM,0.0,1.0,510300_DTE30_ATM_Q100_MonthlyHold,44,44,
510300,OTM1,0.01,0.1,510300_DTE30_OTM1_Q10_MonthlyHold,44,44,
510300,OTM1,0.01,0.2,510300_DTE30_OTM1_Q20_MonthlyHold,44,44,
510300,OTM1,0.01,0.3,510300_DTE30_OTM1_Q30_MonthlyHold,44,44,
510300,OTM1,0.01,0.4,510300_DTE30_OTM1_Q40_MonthlyHold,44,44,
510300,OTM1,0.01,0.5,510300_DTE30_OTM1_Q50_MonthlyHold,44,44,
510300,OTM1,0.01,0.6,510300_DTE30_OTM1_Q60_MonthlyHold,44,44,
510300,OTM1,0.01,0.7,510300_DTE30_OTM1_Q70_MonthlyHold,44,44,
510300,OTM1,0.01,0.8,510300_DTE30_OTM1_Q80_MonthlyHold,44,44,
510300,OTM1,0.01,0.9,510300_DTE30_OTM1_Q90_MonthlyHold,44,44,
510300,OTM1,0.01,1.0,510300_DTE30_OTM1_Q100_MonthlyHold,44,44,
510300,OTM2,0.02,0.1,510300_DTE30_OTM2_Q10_MonthlyHold,44,44,
510300,OTM2,0.02,0.2,510300_DTE30_OTM2_Q20_MonthlyHold,44,44,
510300,OTM2,0.02,0.3,510300_DTE30_OTM2_Q30_MonthlyHold,44,44,
510300,OTM2,0.02,0.4,510300_DTE30_OTM2_Q40_MonthlyHold,44,44,
510300,OTM2,0.02,0.5,510300_DTE30_OTM2_Q50_MonthlyHold,44,44,
510300,OTM2,0.02,0.6,510300_DTE30_OTM2_Q60_MonthlyHold,44,44,
510300,OTM2,0.02,0.7,510300_DTE30_OTM2_Q70_MonthlyHold,44,44,
510300,OTM2,0.02,0.8,510300_DTE30_OTM2_Q80_MonthlyHold,44,44,
510300,OTM2,0.02,0.9,510300_DTE30_OTM2_Q90_MonthlyHold,44,44,
510300,OTM2,0.02,1.0,510300_DTE30_OTM2_Q100_MonthlyHold,44,44,
510300,OTM3,0.03,0.1,510300_DTE30_OTM3_Q10_MonthlyHold,44,44,
510300,OTM3,0.03,0.2,510300_DTE30_OTM3_Q20_MonthlyHold,44,44,
510300,OTM3,0.03,0.3,510300_DTE30_OTM3_Q30_MonthlyHold,44,44,
510300,OTM3,0.03,0.4,510300_DTE30_OTM3_Q40_MonthlyHold,44,44,
510300,OTM3,0.03,0.5,510300_DTE30_OTM3_Q50_MonthlyHold,44,44,
510300,OTM3,0.03,0.6,510300_DTE30_OTM3_Q60_MonthlyHold,44,44,
510300,OTM3,0.03,0.7,510300_DTE30_OTM3_Q70_MonthlyHold,44,44,
510300,OTM3,0.03,0.8,510300_DTE30_OTM3_Q80_MonthlyHold,44,44,
510300,OTM3,0.03,0.9,510300_DTE30_OTM3_Q90_MonthlyHold,44,44,
510300,OTM3,0.03,1.0,510300_DTE30_OTM3_Q100_MonthlyHold,44,44,
510300,OTM4,0.04,0.1,510300_DTE30_OTM4_Q10_MonthlyHold,44,44,
510300,OTM4,0.04,0.2,510300_DTE30_OTM4_Q20_MonthlyHold,44,44,
510300,OTM4,0.04,0.3,510300_DTE30_OTM4_Q30_MonthlyHold,44,44,
510300,OTM4,0.04,0.4,510300_DTE30_OTM4_Q40_MonthlyHold,44,44,
510300,OTM4,0.04,0.5,510300_DTE30_OTM4_Q50_MonthlyHold,44,44,
510300,OTM4,0.04,0.6,510300_DTE30_OTM4_Q60_MonthlyHold,44,44,
510300,OTM4,0.04,0.7,510300_DTE30_OTM4_Q70_MonthlyHold,44,44,
510300,OTM4,0.04,0.8,510300_DTE30_OTM4_Q80_MonthlyHold,44,44,
510300,OTM4,0.04,0.9,510300_DTE30_OTM4_Q90_MonthlyHold,44,44,
510300,OTM4,0.04,1.0,510300_DTE30_OTM4_Q100_MonthlyHold,44,44,
510300,OTM5,0.05,0.1,510300_DTE30_OTM5_Q10_MonthlyHold,44,44,
510300,OTM5,0.05,0.2,510300_DTE30_OTM5_Q20_MonthlyHold,44,44,
510300,OTM5,0.05,0.3,510300_DTE30_OTM5_Q30_MonthlyHold,44,44,
510300,OTM5,0.05,0.4,510300_DTE30_OTM5_Q40_MonthlyHold,44,44,
510300,OTM5,0.05,0.5,510300_DTE30_OTM5_Q50_MonthlyHold,44,44,
510300,OTM5,0.05,0.6,510300_DTE30_OTM5_Q60_MonthlyHold,44,44,
510300,OTM5,0.05,0.7,510300_DTE30_OTM5_Q70_MonthlyHold,44,44,
510300,OTM5,0.05,0.8,510300_DTE30_OTM5_Q80_MonthlyHold,44,44,
510300,OTM5,0.05,0.9,510300_DTE30_OTM5_Q90_MonthlyHold,44,44,
510300,OTM5,0.05,1.0,510300_DTE30_OTM5_Q100_MonthlyHold,44,44,
510300,OTM7,0.07,0.1,510300_DTE30_OTM7_Q10_MonthlyHold,44,44,
510300,OTM7,0.07,0.2,510300_DTE30_OTM7_Q20_MonthlyHold,44,44,
510300,OTM7,0.07,0.3,510300_DTE30_OTM7_Q30_MonthlyHold,44,44,
510300,OTM7,0.07,0.4,510300_DTE30_OTM7_Q40_MonthlyHold,44,44,
510300,OTM7,0.07,0.5,510300_DTE30_OTM7_Q50_MonthlyHold,44,44,
510300,OTM7,0.07,0.6,510300_DTE30_OTM7_Q60_MonthlyHold,44,44,
510300,OTM7,0.07,0.7,510300_DTE30_OTM7_Q70_MonthlyHold,44,44,
510300,OTM7,0.07,0.8,510300_DTE30_OTM7_Q80_MonthlyHold,44,44,
510300,OTM7,0.07,0.9,510300_DTE30_OTM7_Q90_MonthlyHold,44,44,
510300,OTM7,0.07,1.0,510300_DTE30_OTM7_Q100_MonthlyHold,44,44,
510050,ATM,0.0,0.1,510050_DTE30_ATM_Q10_MonthlyHold,44,44,
510050,ATM,0.0,0.2,510050_DTE30_ATM_Q20_MonthlyHold,44,44,
510050,ATM,0.0,0.3,510050_DTE30_ATM_Q30_MonthlyHold,44,44,
510050,ATM,0.0,0.4,510050_DTE30_ATM_Q40_MonthlyHold,44,44,
510050,ATM,0.0,0.5,510050_DTE30_ATM_Q50_MonthlyHold,44,44,
510050,ATM,0.0,0.6,510050_DTE30_ATM_Q60_MonthlyHold,44,44,
510050,ATM,0.0,0.7,510050_DTE30_ATM_Q70_MonthlyHold,44,44,
510050,ATM,0.0,0.8,510050_DTE30_ATM_Q80_MonthlyHold,44,44,
510050,ATM,0.0,0.9,510050_DTE30_ATM_Q90_MonthlyHold,44,44,
510050,ATM,0.0,1.0,510050_DTE30_ATM_Q100_MonthlyHold,44,44,
510050,OTM1,0.01,0.1,510050_DTE30_OTM1_Q10_MonthlyHold,44,44,
510050,OTM1,0.01,0.2,510050_DTE30_OTM1_Q20_MonthlyHold,44,44,
510050,OTM1,0.01,0.3,510050_DTE30_OTM1_Q30_MonthlyHold,44,44,
510050,OTM1,0.01,0.4,510050_DTE30_OTM1_Q40_MonthlyHold,44,44,
510050,OTM1,0.01,0.5,510050_DTE30_OTM1_Q50_MonthlyHold,44,44,
510050,OTM1,0.01,0.6,510050_DTE30_OTM1_Q60_MonthlyHold,44,44,
510050,OTM1,0.01,0.7,510050_DTE30_OTM1_Q70_MonthlyHold,44,44,
510050,OTM1,0.01,0.8,510050_DTE30_OTM1_Q80_MonthlyHold,44,44,
510050,OTM1,0.01,0.9,510050_DTE30_OTM1_Q90_MonthlyHold,44,44,
510050,OTM1,0.01,1.0,510050_DTE30_OTM1_Q100_MonthlyHold,44,44,
510050,OTM2,0.02,0.1,510050_DTE30_OTM2_Q10_MonthlyHold,44,44,
510050,OTM2,0.02,0.2,510050_DTE30_OTM2_Q20_MonthlyHold,44,44,
510050,OTM2,0.02,0.3,510050_DTE30_OTM2_Q30_MonthlyHold,44,44,
510050,OTM2,0.02,0.4,510050_DTE30_OTM2_Q40_MonthlyHold,44,44,
510050,OTM2,0.02,0.5,510050_DTE30_OTM2_Q50_MonthlyHold,44,44,
510050,OTM2,0.02,0.6,510050_DTE30_OTM2_Q60_MonthlyHold,44,44,
510050,OTM2,0.02,0.7,510050_DTE30_OTM2_Q70_MonthlyHold,44,44,
510050,OTM2,0.02,0.8,510050_DTE30_OTM2_Q80_MonthlyHold,44,44,
510050,OTM2,0.02,0.9,510050_DTE30_OTM2_Q90_MonthlyHold,44,44,
510050,OTM2,0.02,1.0,510050_DTE30_OTM2_Q100_MonthlyHold,44,44,
510050,OTM3,0.03,0.1,510050_DTE30_OTM3_Q10_MonthlyHold,44,44,
510050,OTM3,0.03,0.2,510050_DTE30_OTM3_Q20_MonthlyHold,44,44,
510050,OTM3,0.03,0.3,510050_DTE30_OTM3_Q30_MonthlyHold,44,44,
510050,OTM3,0.03,0.4,510050_DTE30_OTM3_Q40_MonthlyHold,44,44,
510050,OTM3,0.03,0.5,510050_DTE30_OTM3_Q50_MonthlyHold,44,44,
510050,OTM3,0.03,0.6,510050_DTE30_OTM3_Q60_MonthlyHold,44,44,
510050,OTM3,0.03,0.7,510050_DTE30_OTM3_Q70_MonthlyHold,44,44,
510050,OTM3,0.03,0.8,510050_DTE30_OTM3_Q80_MonthlyHold,44,44,
510050,OTM3,0.03,0.9,510050_DTE30_OTM3_Q90_MonthlyHold,44,44,
510050,OTM3,0.03,1.0,510050_DTE30_OTM3_Q100_MonthlyHold,44,44,
510050,OTM4,0.04,0.1,510050_DTE30_OTM4_Q10_MonthlyHold,44,44,
510050,OTM4,0.04,0.2,510050_DTE30_OTM4_Q20_MonthlyHold,44,44,
510050,OTM4,0.04,0.3,510050_DTE30_OTM4_Q30_MonthlyHold,44,44,
510050,OTM4,0.04,0.4,510050_DTE30_OTM4_Q40_MonthlyHold,44,44,
510050,OTM4,0.04,0.5,510050_DTE30_OTM4_Q50_MonthlyHold,44,44,
510050,OTM4,0.04,0.6,510050_DTE30_OTM4_Q60_MonthlyHold,44,44,
510050,OTM4,0.04,0.7,510050_DTE30_OTM4_Q70_MonthlyHold,44,44,
510050,OTM4,0.04,0.8,510050_DTE30_OTM4_Q80_MonthlyHold,44,44,
510050,OTM4,0.04,0.9,510050_DTE30_OTM4_Q90_MonthlyHold,44,44,
510050,OTM4,0.04,1.0,510050_DTE30_OTM4_Q100_MonthlyHold,44,44,
510050,OTM5,0.05,0.1,510050_DTE30_OTM5_Q10_MonthlyHold,44,44,
510050,OTM5,0.05,0.2,510050_DTE30_OTM5_Q20_MonthlyHold,44,44,
510050,OTM5,0.05,0.3,510050_DTE30_OTM5_Q30_MonthlyHold,44,44,
510050,OTM5,0.05,0.4,510050_DTE30_OTM5_Q40_MonthlyHold,44,44,
