surface_point_id,etf_code,strategy_name,moneyness_label,target_moneyness,avg_realized_moneyness,median_realized_moneyness,coverage,coverage_label,sample_start,sample_end,n_periods,selected_periods,option_sale_success_rate,assignment_frequency,avg_selected_delta,cumulative_return,annualized_return_cagr,annualized_volatility,sharpe_daily_mean,max_drawdown,calmar_ratio,premium_contribution_annualized,upside_cost_annualized,option_leg_annualized_pnl_contribution,total_net_option_contribution,source_note
mny_0001,510300,510300_DTE30_ATM_Q10_MonthlyHold,ATM,0.0,0.0004234820083331602,0.00027793218454696955,0.1,Q10,2022-09-19,2026-05-27,44,44,1.0,0.5,,0.291866598011282,0.07252599541473836,0.1919955018264258,0.37774840933672366,0.2122292446319587,0.34173422018492633,0.02075501064763767,0.018149063252581723,0.0025955698897321302,0.009517089595684477,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0002,510300,510300_DTE30_ATM_Q20_MonthlyHold,ATM,0.0,0.0004234820083331602,0.00027793218454696955,0.2,Q20,2022-09-19,2026-05-27,44,44,1.0,0.5,,0.3085482870055474,0.07629489620435481,0.18677239401378667,0.4084912901995735,0.19897054141017756,0.38344820124438905,0.04151002129527534,0.036298126505163446,0.0051911397794642605,0.019034179191368954,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0003,510300,510300_DTE30_ATM_Q30_MonthlyHold,ATM,0.0,0.0004234820083331602,0.00027793218454696955,0.3,Q30,2022-09-19,2026-05-27,44,44,1.0,0.5,,0.32511182792966253,0.08000271974921835,0.1818069517787503,0.4400421379187829,0.18816504272515977,0.4251731277529219,0.06226503194291301,0.05444718975774516,0.00778670966919639,0.028551268787053434,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0004,510300,510300_DTE30_ATM_Q40_MonthlyHold,ATM,0.0,0.0004234820083331602,0.00027793218454696955,0.4,Q40,2022-09-19,2026-05-27,44,44,1.0,0.5,,0.34154630188502266,0.08364851612514856,0.17712084679647425,0.47226804545072704,0.18041244607763973,0.4636515824919905,0.08302004259055068,0.07259625301032689,0.010382279558928521,0.03806835838273791,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0005,510300,510300_DTE30_ATM_Q50_MonthlyHold,ATM,0.0,0.0004234820083331602,0.00027793218454696955,0.5,Q50,2022-09-19,2026-05-27,44,44,1.0,0.5,,0.3578406776081644,0.08723133492708146,0.17273681463457322,0.504995620717103,0.17260004925914374,0.5053957707515558,0.10377505323818838,0.09074531626290862,0.01297784944866066,0.04758544797842242,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0006,510300,510300_DTE30_ATM_Q60_MonthlyHold,ATM,0.0,0.0004234820083331602,0.00027793218454696955,0.6,Q60,2022-09-19,2026-05-27,44,44,1.0,0.5,,0.37398381981190365,0.09075022541962707,0.1686784099868068,0.5380073562865877,0.16472749504408823,0.5509112209551804,0.12453006388582602,0.10889437951549032,0.01557341933839278,0.05710253757410687,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0007,510300,510300_DTE30_ATM_Q70_MonthlyHold,ATM,0.0,0.0004234820083331602,0.00027793218454696955,0.7,Q70,2022-09-19,2026-05-27,44,44,1.0,0.5,,0.3899644978467094,0.0942042366896092,0.1649696668076748,0.5710397463518826,0.15679442466125848,0.6008136889633018,0.14528507453346368,0.12704344276807203,0.018168989228124897,0.06661962716979129,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0008,510300,510300_DTE30_ATM_Q80_MonthlyHold,ATM,0.0,0.0004234820083331602,0.00027793218454696955,0.8,Q80,2022-09-19,2026-05-27,44,44,1.0,0.5,,0.4057713946791579,0.09759241780058425,0.16163465607032657,0.6037839914611023,0.14880047778952077,0.655860916916069,0.16604008518110136,0.14519250602065378,0.020764559117857042,0.07613671676547581,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0009,510300,510300_DTE30_ATM_Q90_MonthlyHold,ATM,0.0,0.0004234820083331602,0.00027793218454696955,0.9,Q90,2022-09-19,2026-05-27,44,44,1.0,0.5,,0.4213931161838447,0.1009138179493656,0.1586969414471805,0.6358901250970423,0.14074529255352708,0.7169960438356181,0.18679509582873902,0.1633415692732355,0.023360129007589176,0.08565380636116031,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0010,510300,510300_DTE30_ATM_Q100_MonthlyHold,ATM,0.0,0.0004234820083331602,0.00027793218454696955,1.0,Q100,2022-09-19,2026-05-27,44,44,1.0,0.5,,0.4368182007444874,0.10416748662455344,0.1561789438810062,0.6669752274923779,0.13262850551941707,0.7854079801065323,0.20755010647637676,0.18149063252581724,0.02595569889732132,0.09517089595684484,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0011,510300,510300_DTE30_OTM1_Q10_MonthlyHold,OTM1,0.01,0.00877001577185681,0.009023045793545403,0.1,Q10,2022-09-19,2026-05-27,44,44,1.0,0.38636363636363635,,0.2839020942999151,0.07071408983862848,0.19251873558930788,0.36731017177195613,0.2163132450835894,0.3269059636699667,0.016330813963497205,0.015324195714474267,0.0009984528420411904,0.0036609937541510315,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
