portfolio_name,universe_name,portfolio_type,weight_scheme,etf_code,sleeve_key,weight,option_leg_annualized_pnl_contribution,contribution_share_of_portfolio_option_leg,attribution_method
A_Pure_ETF_50_30_20,Main Growth-Diversified Universe,Pure_ETF,50_30_20,PORTFOLIO,PORTFOLIO_TOTAL,1.0,0.0,,daily_weighted_option_leg_return
A_Pure_ETF_50_30_20,Main Growth-Diversified Universe,Pure_ETF,50_30_20,510300,510300__510300_ETF_BuyHold,0.5,0.0,,daily_weighted_option_leg_return
A_Pure_ETF_50_30_20,Main Growth-Diversified Universe,Pure_ETF,50_30_20,510500,510500__510500_ETF_BuyHold,0.3,0.0,,daily_weighted_option_leg_return
A_Pure_ETF_50_30_20,Main Growth-Diversified Universe,Pure_ETF,50_30_20,159915,159915__159915_ETF_BuyHold,0.2,0.0,,daily_weighted_option_leg_return
A_Selected_50_30_20,Main Growth-Diversified Universe,Selected,50_30_20,PORTFOLIO,PORTFOLIO_TOTAL,1.0,-0.009788447803000463,1.0,daily_weighted_option_leg_return
A_Selected_50_30_20,Main Growth-Diversified Universe,Selected,50_30_20,510300,510300__510300_DTE30_D40_Q70_Hold,0.5,0.0012715295110664452,-0.12990103606382636,daily_weighted_option_leg_return
A_Selected_50_30_20,Main Growth-Diversified Universe,Selected,50_30_20,510500,510500__510500_ETF_BuyHold,0.3,0.0,-0.0,daily_weighted_option_leg_return
A_Selected_50_30_20,Main Growth-Diversified Universe,Selected,50_30_20,159915,159915__159915_DTE30_OTM5up_Q50_Hold,0.2,-0.01105997731406691,1.1299010360638264,daily_weighted_option_leg_return
A_Pure_ETF_70_20_10,Main Growth-Diversified Universe,Pure_ETF,70_20_10,PORTFOLIO,PORTFOLIO_TOTAL,1.0,0.0,,daily_weighted_option_leg_return
A_Pure_ETF_70_20_10,Main Growth-Diversified Universe,Pure_ETF,70_20_10,510300,510300__510300_ETF_BuyHold,0.7,0.0,,daily_weighted_option_leg_return
A_Pure_ETF_70_20_10,Main Growth-Diversified Universe,Pure_ETF,70_20_10,510500,510500__510500_ETF_BuyHold,0.2,0.0,,daily_weighted_option_leg_return
A_Pure_ETF_70_20_10,Main Growth-Diversified Universe,Pure_ETF,70_20_10,159915,159915__159915_ETF_BuyHold,0.1,0.0,,daily_weighted_option_leg_return
A_Selected_70_20_10,Main Growth-Diversified Universe,Selected,70_20_10,PORTFOLIO,PORTFOLIO_TOTAL,1.0,-0.003749847341540431,1.0,daily_weighted_option_leg_return
A_Selected_70_20_10,Main Growth-Diversified Universe,Selected,70_20_10,510300,510300__510300_DTE30_D40_Q70_Hold,0.7,0.0017801413154930146,-0.47472367628750867,daily_weighted_option_leg_return
A_Selected_70_20_10,Main Growth-Diversified Universe,Selected,70_20_10,510500,510500__510500_ETF_BuyHold,0.2,0.0,-0.0,daily_weighted_option_leg_return
A_Selected_70_20_10,Main Growth-Diversified Universe,Selected,70_20_10,159915,159915__159915_DTE30_OTM5up_Q50_Hold,0.1,-0.005529988657033455,1.474723676287511,daily_weighted_option_leg_return
A_Pure_ETF_40_40_20,Main Growth-Diversified Universe,Pure_ETF,40_40_20,PORTFOLIO,PORTFOLIO_TOTAL,1.0,0.0,,daily_weighted_option_leg_return
A_Pure_ETF_40_40_20,Main Growth-Diversified Universe,Pure_ETF,40_40_20,510300,510300__510300_ETF_BuyHold,0.4,0.0,,daily_weighted_option_leg_return
A_Pure_ETF_40_40_20,Main Growth-Diversified Universe,Pure_ETF,40_40_20,510500,510500__510500_ETF_BuyHold,0.4,0.0,,daily_weighted_option_leg_return
