portfolio_name,universe_name,portfolio_type,weight_scheme,etf_code,sleeve_key,sleeve_return_column,weight,portfolio_volatility,marginal_contribution,risk_contribution,risk_contribution_pct
A_Pure_ETF_50_30_20,Main Growth-Diversified Universe,Pure_ETF,50_30_20,510300,510300__510300_ETF_BuyHold,510300__510300_ETF_BuyHold__daily_return,0.5,0.20518681475262643,0.1681144562685021,0.08405722813425105,0.4096619377594539
A_Pure_ETF_50_30_20,Main Growth-Diversified Universe,Pure_ETF,50_30_20,510500,510500__510500_ETF_BuyHold,510500__510500_ETF_BuyHold__daily_return,0.3,0.20518681475262643,0.20501852026673562,0.06150555608002068,0.29975393961922886
A_Pure_ETF_50_30_20,Main Growth-Diversified Universe,Pure_ETF,50_30_20,159915,159915__159915_ETF_BuyHold,159915__159915_ETF_BuyHold__daily_return,0.2,0.20518681475262643,0.29812015269177355,0.059624030538354716,0.29058412262131733
A_Selected_50_30_20,Main Growth-Diversified Universe,Selected,50_30_20,510300,510300__510300_DTE30_D40_Q70_Hold,510300__510300_DTE30_D40_Q70_Hold__daily_return,0.5,0.1658927857320484,0.11459460065740869,0.057297300328704344,0.34538753494230595
A_Selected_50_30_20,Main Growth-Diversified Universe,Selected,50_30_20,510500,510500__510500_ETF_BuyHold,510500__510500_ETF_BuyHold__daily_return,0.3,0.1658927857320484,0.20771945877219314,0.06231583763165794,0.37563922600173266
A_Selected_50_30_20,Main Growth-Diversified Universe,Selected,50_30_20,159915,159915__159915_DTE30_OTM5up_Q50_Hold,159915__159915_DTE30_OTM5up_Q50_Hold__daily_return,0.2,0.1658927857320484,0.23139823885843064,0.04627964777168613,0.27897323905596144
A_Pure_ETF_70_20_10,Main Growth-Diversified Universe,Pure_ETF,70_20_10,510300,510300__510300_ETF_BuyHold,510300__510300_ETF_BuyHold__daily_return,0.7,0.18956762352179526,0.17234851049844643,0.12064395734891249,0.6364164676835843
A_Pure_ETF_70_20_10,Main Growth-Diversified Universe,Pure_ETF,70_20_10,510500,510500__510500_ETF_BuyHold,510500__510500_ETF_BuyHold__daily_return,0.2,0.18956762352179526,0.19994866045248133,0.03998973209049627,0.2109523311394918
A_Pure_ETF_70_20_10,Main Growth-Diversified Universe,Pure_ETF,70_20_10,159915,159915__159915_ETF_BuyHold,159915__159915_ETF_BuyHold__daily_return,0.1,0.18956762352179526,0.289339340823865,0.0289339340823865,0.15263120117692386
A_Selected_70_20_10,Main Growth-Diversified Universe,Selected,70_20_10,510300,510300__510300_DTE30_D40_Q70_Hold,510300__510300_DTE30_D40_Q70_Hold__daily_return,0.7,0.1459616666155927,0.11901650868516675,0.08331155607961672,0.5707769581655131
A_Selected_70_20_10,Main Growth-Diversified Universe,Selected,70_20_10,510500,510500__510500_ETF_BuyHold,510500__510500_ETF_BuyHold__daily_return,0.2,0.1459616666155927,0.2012239988890479,0.040244799777809585,0.275721706328546
A_Selected_70_20_10,Main Growth-Diversified Universe,Selected,70_20_10,159915,159915__159915_DTE30_OTM5up_Q50_Hold,159915__159915_DTE30_OTM5up_Q50_Hold__daily_return,0.1,0.1459616666155927,0.224053107581664,0.022405310758166402,0.153501335505941
A_Pure_ETF_40_40_20,Main Growth-Diversified Universe,Pure_ETF,40_40_20,510300,510300__510300_ETF_BuyHold,510300__510300_ETF_BuyHold__daily_return,0.4,0.20918294323872225,0.1656092804078771,0.06624371216315084,0.3166783636252439
A_Pure_ETF_40_40_20,Main Growth-Diversified Universe,Pure_ETF,40_40_20,510500,510500__510500_ETF_BuyHold,510500__510500_ETF_BuyHold__daily_return,0.4,0.20918294323872225,0.2085693824816793,0.08342775299267173,0.39882674801770485
A_Pure_ETF_40_40_20,Main Growth-Diversified Universe,Pure_ETF,40_40_20,159915,159915__159915_ETF_BuyHold,159915__159915_ETF_BuyHold__daily_return,0.2,0.20918294323872225,0.29755739041449836,0.05951147808289967,0.2844948883570512
A_Selected_40_40_20,Main Growth-Diversified Universe,Selected,40_40_20,510300,510300__510300_DTE30_D40_Q70_Hold,510300__510300_DTE30_D40_Q70_Hold__daily_return,0.4,0.17551493790395986,0.11207047882856497,0.04482819153142599,0.25540955127110354
A_Selected_40_40_20,Main Growth-Diversified Universe,Selected,40_40_20,510500,510500__510500_ETF_BuyHold,510500__510500_ETF_BuyHold__daily_return,0.4,0.17551493790395986,0.21121889758523216,0.08448755903409287,0.4813696204041828
A_Selected_40_40_20,Main Growth-Diversified Universe,Selected,40_40_20,159915,159915__159915_DTE30_OTM5up_Q50_Hold,159915__159915_DTE30_OTM5up_Q50_Hold__daily_return,0.2,0.17551493790395986,0.23099593669220508,0.04619918733844102,0.2632208283247138
B_Pure_ETF_50_30_20,Alternative Defensive-Income Universe,Pure_ETF,50_30_20,510300,510300__510300_ETF_BuyHold,510300__510300_ETF_BuyHold__daily_return,0.5,0.1891819185384603,0.17337661230221302,0.08668830615110651,0.45822722816653827
B_Pure_ETF_50_30_20,Alternative Defensive-Income Universe,Pure_ETF,50_30_20,510050,510050__510050_ETF_BuyHold,510050__510050_ETF_BuyHold__daily_return,0.3,0.1891819185384603,0.15029002142714365,0.045087006428143096,0.23832619299173138
B_Pure_ETF_50_30_20,Alternative Defensive-Income Universe,Pure_ETF,50_30_20,159915,159915__159915_ETF_BuyHold,159915__159915_ETF_BuyHold__daily_return,0.2,0.1891819185384603,0.2870330297960536,0.057406605959210724,0.30344657884173043
B_Selected_50_30_20,Alternative Defensive-Income Universe,Selected,50_30_20,510300,510300__510300_DTE30_D40_Q70_Hold,510300__510300_DTE30_D40_Q70_Hold__daily_return,0.5,0.13613366413297537,0.1204711116108275,0.06023555580541375,0.4424736246471384
B_Selected_50_30_20,Alternative Defensive-Income Universe,Selected,50_30_20,510050,510050__510050_DTE30_D40_Q70_Hold,510050__510050_DTE30_D40_Q70_Hold__daily_return,0.3,0.13613366413297537,0.10588297857971898,0.031764893573915695,0.2333360655222484
B_Selected_50_30_20,Alternative Defensive-Income Universe,Selected,50_30_20,159915,159915__159915_DTE30_OTM5up_Q50_Hold,159915__159915_DTE30_OTM5up_Q50_Hold__daily_return,0.2,0.13613366413297537,0.22066607376822953,0.04413321475364591,0.3241903098306131
B_Pure_ETF_70_20_10,Alternative Defensive-Income Universe,Pure_ETF,70_20_10,510300,510300__510300_ETF_BuyHold,510300__510300_ETF_BuyHold__daily_return,0.7,0.18057455217982996,0.1746735484314092,0.12227148390198643,0.6771246691517149
B_Pure_ETF_70_20_10,Alternative Defensive-Income Universe,Pure_ETF,70_20_10,510050,510050__510050_ETF_BuyHold,510050__510050_ETF_BuyHold__daily_return,0.2,0.18057455217982996,0.1523204019526929,0.030464080390538578,0.1687063875988468
B_Pure_ETF_70_20_10,Alternative Defensive-Income Universe,Pure_ETF,70_20_10,159915,159915__159915_ETF_BuyHold,159915__159915_ETF_BuyHold__daily_return,0.1,0.18057455217982996,0.27838987887304967,0.027838987887304968,0.15416894324943844
B_Selected_70_20_10,Alternative Defensive-Income Universe,Selected,70_20_10,510300,510300__510300_DTE30_D40_Q70_Hold,510300__510300_DTE30_D40_Q70_Hold__daily_return,0.7,0.12808197045077457,0.12204438649201405,0.08543107054440982,0.6670030937511484
B_Selected_70_20_10,Alternative Defensive-Income Universe,Selected,70_20_10,510050,510050__510050_DTE30_D40_Q70_Hold,510050__510050_DTE30_D40_Q70_Hold__daily_return,0.2,0.12808197045077457,0.10731315051275904,0.02146263010255181,0.16756948715744882
B_Selected_70_20_10,Alternative Defensive-Income Universe,Selected,70_20_10,159915,159915__159915_DTE30_OTM5up_Q50_Hold,159915__159915_DTE30_OTM5up_Q50_Hold__daily_return,0.1,0.12808197045077457,0.21188269803812915,0.021188269803812915,0.1654274190914025
B_Pure_ETF_40_40_20,Alternative Defensive-Income Universe,Pure_ETF,40_40_20,510300,510300__510300_ETF_BuyHold,510300__510300_ETF_BuyHold__daily_return,0.4,0.18698407108410892,0.17318286515809214,0.06927314606323685,0.37047618902294893
B_Pure_ETF_40_40_20,Alternative Defensive-Income Universe,Pure_ETF,40_40_20,510050,510050__510050_ETF_BuyHold,510050__510050_ETF_BuyHold__daily_return,0.4,0.18698407108410892,0.15232553196288612,0.06093021278515445,0.3258577719047892
B_Pure_ETF_40_40_20,Alternative Defensive-Income Universe,Pure_ETF,40_40_20,159915,159915__159915_ETF_BuyHold,159915__159915_ETF_BuyHold__daily_return,0.2,0.18698407108410892,0.28390356117858795,0.056780712235717595,0.3036660390722618
B_Selected_40_40_20,Alternative Defensive-Income Universe,Selected,40_40_20,510300,510300__510300_DTE30_D40_Q70_Hold,510300__510300_DTE30_D40_Q70_Hold__daily_return,0.4,0.13478455176039172,0.12011553256516525,0.0480462130260661,0.3564667641695206
B_Selected_40_40_20,Alternative Defensive-Income Universe,Selected,40_40_20,510050,510050__510050_DTE30_D40_Q70_Hold,510050__510050_DTE30_D40_Q70_Hold__daily_return,0.4,0.13478455176039172,0.10773239854856613,0.04309295941942645,0.3197173478458672
