portfolio_name,universe_name,universe_short,portfolio_type,weight_scheme,etf_code,sleeve_key,sleeve_name,weight
A_Pure_ETF_50_30_20,Main Growth-Diversified Universe,A,Pure_ETF,50_30_20,510300,510300__510300_ETF_BuyHold,510300_ETF_BuyHold,0.5
A_Pure_ETF_50_30_20,Main Growth-Diversified Universe,A,Pure_ETF,50_30_20,510500,510500__510500_ETF_BuyHold,510500_ETF_BuyHold,0.3
A_Pure_ETF_50_30_20,Main Growth-Diversified Universe,A,Pure_ETF,50_30_20,159915,159915__159915_ETF_BuyHold,159915_ETF_BuyHold,0.2
A_Selected_50_30_20,Main Growth-Diversified Universe,A,Selected,50_30_20,510300,510300__510300_DTE30_D40_Q70_Hold,510300_DTE30_D40_Q70_Hold,0.5
A_Selected_50_30_20,Main Growth-Diversified Universe,A,Selected,50_30_20,510500,510500__510500_ETF_BuyHold,510500_ETF_BuyHold,0.3
A_Selected_50_30_20,Main Growth-Diversified Universe,A,Selected,50_30_20,159915,159915__159915_DTE30_OTM5up_Q50_Hold,159915_DTE30_OTM5up_Q50_Hold,0.2
A_Pure_ETF_70_20_10,Main Growth-Diversified Universe,A,Pure_ETF,70_20_10,510300,510300__510300_ETF_BuyHold,510300_ETF_BuyHold,0.7
A_Pure_ETF_70_20_10,Main Growth-Diversified Universe,A,Pure_ETF,70_20_10,510500,510500__510500_ETF_BuyHold,510500_ETF_BuyHold,0.2
A_Pure_ETF_70_20_10,Main Growth-Diversified Universe,A,Pure_ETF,70_20_10,159915,159915__159915_ETF_BuyHold,159915_ETF_BuyHold,0.1
A_Selected_70_20_10,Main Growth-Diversified Universe,A,Selected,70_20_10,510300,510300__510300_DTE30_D40_Q70_Hold,510300_DTE30_D40_Q70_Hold,0.7
A_Selected_70_20_10,Main Growth-Diversified Universe,A,Selected,70_20_10,510500,510500__510500_ETF_BuyHold,510500_ETF_BuyHold,0.2
A_Selected_70_20_10,Main Growth-Diversified Universe,A,Selected,70_20_10,159915,159915__159915_DTE30_OTM5up_Q50_Hold,159915_DTE30_OTM5up_Q50_Hold,0.1
A_Pure_ETF_40_40_20,Main Growth-Diversified Universe,A,Pure_ETF,40_40_20,510300,510300__510300_ETF_BuyHold,510300_ETF_BuyHold,0.4
A_Pure_ETF_40_40_20,Main Growth-Diversified Universe,A,Pure_ETF,40_40_20,510500,510500__510500_ETF_BuyHold,510500_ETF_BuyHold,0.4
A_Pure_ETF_40_40_20,Main Growth-Diversified Universe,A,Pure_ETF,40_40_20,159915,159915__159915_ETF_BuyHold,159915_ETF_BuyHold,0.2
A_Selected_40_40_20,Main Growth-Diversified Universe,A,Selected,40_40_20,510300,510300__510300_DTE30_D40_Q70_Hold,510300_DTE30_D40_Q70_Hold,0.4
A_Selected_40_40_20,Main Growth-Diversified Universe,A,Selected,40_40_20,510500,510500__510500_ETF_BuyHold,510500_ETF_BuyHold,0.4
A_Selected_40_40_20,Main Growth-Diversified Universe,A,Selected,40_40_20,159915,159915__159915_DTE30_OTM5up_Q50_Hold,159915_DTE30_OTM5up_Q50_Hold,0.2
B_Pure_ETF_50_30_20,Alternative Defensive-Income Universe,B,Pure_ETF,50_30_20,510300,510300__510300_ETF_BuyHold,510300_ETF_BuyHold,0.5
B_Pure_ETF_50_30_20,Alternative Defensive-Income Universe,B,Pure_ETF,50_30_20,510050,510050__510050_ETF_BuyHold,510050_ETF_BuyHold,0.3
B_Pure_ETF_50_30_20,Alternative Defensive-Income Universe,B,Pure_ETF,50_30_20,159915,159915__159915_ETF_BuyHold,159915_ETF_BuyHold,0.2
B_Selected_50_30_20,Alternative Defensive-Income Universe,B,Selected,50_30_20,510300,510300__510300_DTE30_D40_Q70_Hold,510300_DTE30_D40_Q70_Hold,0.5
B_Selected_50_30_20,Alternative Defensive-Income Universe,B,Selected,50_30_20,510050,510050__510050_DTE30_D40_Q70_Hold,510050_DTE30_D40_Q70_Hold,0.3
B_Selected_50_30_20,Alternative Defensive-Income Universe,B,Selected,50_30_20,159915,159915__159915_DTE30_OTM5up_Q50_Hold,159915_DTE30_OTM5up_Q50_Hold,0.2
B_Pure_ETF_70_20_10,Alternative Defensive-Income Universe,B,Pure_ETF,70_20_10,510300,510300__510300_ETF_BuyHold,510300_ETF_BuyHold,0.7
B_Pure_ETF_70_20_10,Alternative Defensive-Income Universe,B,Pure_ETF,70_20_10,510050,510050__510050_ETF_BuyHold,510050_ETF_BuyHold,0.2
B_Pure_ETF_70_20_10,Alternative Defensive-Income Universe,B,Pure_ETF,70_20_10,159915,159915__159915_ETF_BuyHold,159915_ETF_BuyHold,0.1
B_Selected_70_20_10,Alternative Defensive-Income Universe,B,Selected,70_20_10,510300,510300__510300_DTE30_D40_Q70_Hold,510300_DTE30_D40_Q70_Hold,0.7
