universe_short,row_sleeve,col_sleeve,annualized_covariance
A,510300__510300_DTE30_D40_Q70_Hold,510300__510300_DTE30_D40_Q70_Hold,0.015073652792449578
A,510300__510300_DTE30_D40_Q70_Hold,510500__510500_ETF_BuyHold,0.021669908787984336
A,510300__510300_DTE30_D40_Q70_Hold,159915__159915_DTE30_OTM5up_Q50_Hold,0.024863092501445312
A,510500__510500_ETF_BuyHold,510300__510300_DTE30_D40_Q70_Hold,0.021669908787984336
A,510500__510500_ETF_BuyHold,510500__510500_ETF_BuyHold,0.047799029061408066
A,510500__510500_ETF_BuyHold,159915__159915_DTE30_OTM5up_Q50_Hold,0.04642248277028957
A,159915__159915_DTE30_OTM5up_Q50_Hold,510300__510300_DTE30_D40_Q70_Hold,0.024863092501445312
A,159915__159915_DTE30_OTM5up_Q50_Hold,510500__510500_ETF_BuyHold,0.04642248277028957
A,159915__159915_DTE30_OTM5up_Q50_Hold,159915__159915_DTE30_OTM5up_Q50_Hold,0.06014503687952731
B,510300__510300_DTE30_D40_Q70_Hold,510300__510300_DTE30_D40_Q70_Hold,0.015073652792449578
B,510300__510300_DTE30_D40_Q70_Hold,510050__510050_DTE30_D40_Q70_Hold,0.012969096497469098
B,510300__510300_DTE30_D40_Q70_Hold,159915__159915_DTE30_OTM5up_Q50_Hold,0.024863092501445312
B,510050__510050_DTE30_D40_Q70_Hold,510300__510300_DTE30_D40_Q70_Hold,0.012969096497469098
B,510050__510050_DTE30_D40_Q70_Hold,510050__510050_DTE30_D40_Q70_Hold,0.014033348548167797
B,510050__510050_DTE30_D40_Q70_Hold,159915__159915_DTE30_OTM5up_Q50_Hold,0.018598425150928008
B,159915__159915_DTE30_OTM5up_Q50_Hold,510300__510300_DTE30_D40_Q70_Hold,0.024863092501445312
B,159915__159915_DTE30_OTM5up_Q50_Hold,510050__510050_DTE30_D40_Q70_Hold,0.018598425150928008
B,159915__159915_DTE30_OTM5up_Q50_Hold,159915__159915_DTE30_OTM5up_Q50_Hold,0.06014503687952731
