portfolio_name,universe_short,constraint_set,D_star,etf_code,sleeve_name,sleeve_key,weight,option_leg_annualized_pnl_contribution,attribution_method
A_default_D22_51030070_51050009_15991521,A,default,0.22,510300,510300_DTE30_D40_Q70_Hold,510300__510300_DTE30_D40_Q70_Hold,0.7,0.0017801413154930146,daily_weighted_option_leg_return
A_default_D22_51030070_51050009_15991521,A,default,0.22,510500,510500_ETF_BuyHold,510500__510500_ETF_BuyHold,0.09,0.0,daily_weighted_option_leg_return
A_default_D22_51030070_51050009_15991521,A,default,0.22,159915,159915_DTE30_OTM5up_Q50_Hold,159915__159915_DTE30_OTM5up_Q50_Hold,0.21,-0.011612976179770255,daily_weighted_option_leg_return
A_default_D22_51030070_51050009_15991521,A,default,0.22,PORTFOLIO,PORTFOLIO_TOTAL,PORTFOLIO_TOTAL,1.0,-0.009832834864277233,daily_weighted_option_leg_return
A_default_D25_51030070_51050009_15991521,A,default,0.25,510300,510300_DTE30_D40_Q70_Hold,510300__510300_DTE30_D40_Q70_Hold,0.7,0.0017801413154930146,daily_weighted_option_leg_return
A_default_D25_51030070_51050009_15991521,A,default,0.25,510500,510500_ETF_BuyHold,510500__510500_ETF_BuyHold,0.09,0.0,daily_weighted_option_leg_return
A_default_D25_51030070_51050009_15991521,A,default,0.25,159915,159915_DTE30_OTM5up_Q50_Hold,159915__159915_DTE30_OTM5up_Q50_Hold,0.21,-0.011612976179770255,daily_weighted_option_leg_return
A_default_D25_51030070_51050009_15991521,A,default,0.25,PORTFOLIO,PORTFOLIO_TOTAL,PORTFOLIO_TOTAL,1.0,-0.009832834864277233,daily_weighted_option_leg_return
A_default_D30_51030070_51050009_15991521,A,default,0.3,510300,510300_DTE30_D40_Q70_Hold,510300__510300_DTE30_D40_Q70_Hold,0.7,0.0017801413154930146,daily_weighted_option_leg_return
A_default_D30_51030070_51050009_15991521,A,default,0.3,510500,510500_ETF_BuyHold,510500__510500_ETF_BuyHold,0.09,0.0,daily_weighted_option_leg_return
A_default_D30_51030070_51050009_15991521,A,default,0.3,159915,159915_DTE30_OTM5up_Q50_Hold,159915__159915_DTE30_OTM5up_Q50_Hold,0.21,-0.011612976179770255,daily_weighted_option_leg_return
A_default_D30_51030070_51050009_15991521,A,default,0.3,PORTFOLIO,PORTFOLIO_TOTAL,PORTFOLIO_TOTAL,1.0,-0.009832834864277233,daily_weighted_option_leg_return
B_default_D18_51030070_51005020_15991510,B,default,0.18,510300,510300_DTE30_D40_Q70_Hold,510300__510300_DTE30_D40_Q70_Hold,0.7,0.0017801413154930146,daily_weighted_option_leg_return
B_default_D18_51030070_51005020_15991510,B,default,0.18,510050,510050_DTE30_D40_Q70_Hold,510050__510050_DTE30_D40_Q70_Hold,0.2,0.002036922816523123,daily_weighted_option_leg_return
B_default_D18_51030070_51005020_15991510,B,default,0.18,159915,159915_DTE30_OTM5up_Q50_Hold,159915__159915_DTE30_OTM5up_Q50_Hold,0.1,-0.005529988657033455,daily_weighted_option_leg_return
B_default_D18_51030070_51005020_15991510,B,default,0.18,PORTFOLIO,PORTFOLIO_TOTAL,PORTFOLIO_TOTAL,1.0,-0.0017129245250173176,daily_weighted_option_leg_return
B_default_D20_51030070_51005012_15991518,B,default,0.2,510300,510300_DTE30_D40_Q70_Hold,510300__510300_DTE30_D40_Q70_Hold,0.7,0.0017801413154930146,daily_weighted_option_leg_return
B_default_D20_51030070_51005012_15991518,B,default,0.2,510050,510050_DTE30_D40_Q70_Hold,510050__510050_DTE30_D40_Q70_Hold,0.12,0.0012221536899138742,daily_weighted_option_leg_return
B_default_D20_51030070_51005012_15991518,B,default,0.2,159915,159915_DTE30_OTM5up_Q50_Hold,159915__159915_DTE30_OTM5up_Q50_Hold,0.18,-0.009953979582660219,daily_weighted_option_leg_return
B_default_D20_51030070_51005012_15991518,B,default,0.2,PORTFOLIO,PORTFOLIO_TOTAL,PORTFOLIO_TOTAL,1.0,-0.006951684577253321,daily_weighted_option_leg_return
B_default_D22_51030070_51005005_15991525,B,default,0.22,510300,510300_DTE30_D40_Q70_Hold,510300__510300_DTE30_D40_Q70_Hold,0.7,0.0017801413154930146,daily_weighted_option_leg_return
B_default_D22_51030070_51005005_15991525,B,default,0.22,510050,510050_DTE30_D40_Q70_Hold,510050__510050_DTE30_D40_Q70_Hold,0.05,0.0005092307041307808,daily_weighted_option_leg_return
B_default_D22_51030070_51005005_15991525,B,default,0.22,159915,159915_DTE30_OTM5up_Q50_Hold,159915__159915_DTE30_OTM5up_Q50_Hold,0.25,-0.01382497164258364,daily_weighted_option_leg_return
B_default_D22_51030070_51005005_15991525,B,default,0.22,PORTFOLIO,PORTFOLIO_TOTAL,PORTFOLIO_TOTAL,1.0,-0.01153559962295983,daily_weighted_option_leg_return
B_default_D25_51030070_51005005_15991525,B,default,0.25,510300,510300_DTE30_D40_Q70_Hold,510300__510300_DTE30_D40_Q70_Hold,0.7,0.0017801413154930146,daily_weighted_option_leg_return
B_default_D25_51030070_51005005_15991525,B,default,0.25,510050,510050_DTE30_D40_Q70_Hold,510050__510050_DTE30_D40_Q70_Hold,0.05,0.0005092307041307808,daily_weighted_option_leg_return
B_default_D25_51030070_51005005_15991525,B,default,0.25,159915,159915_DTE30_OTM5up_Q50_Hold,159915__159915_DTE30_OTM5up_Q50_Hold,0.25,-0.01382497164258364,daily_weighted_option_leg_return
B_default_D25_51030070_51005005_15991525,B,default,0.25,PORTFOLIO,PORTFOLIO_TOTAL,PORTFOLIO_TOTAL,1.0,-0.01153559962295983,daily_weighted_option_leg_return
B_default_D30_51030070_51005005_15991525,B,default,0.3,510300,510300_DTE30_D40_Q70_Hold,510300__510300_DTE30_D40_Q70_Hold,0.7,0.0017801413154930146,daily_weighted_option_leg_return
