portfolio_name,universe_short,constraint_set,D_star,etf_code,sleeve_name,weight,portfolio_volatility,risk_contribution_to_variance,risk_contribution_pct
A_default_D22_51030070_51050009_15991521,A,default,0.22,510300,510300_DTE30_D40_Q70_Hold,0.7,0.14906570927451002,0.012406168719655766,0.5583187093928648
A_default_D22_51030070_51050009_15991521,A,default,0.22,510500,510500_ETF_BuyHold,0.09,0.14906570927451002,0.002629761313398891,0.1183479747604862
A_default_D22_51030070_51050009_15991521,A,default,0.22,159915,159915_DTE30_OTM5up_Q50_Hold,0.21,0.14906570927451002,0.0071846556484580874,0.32333331584664904
A_default_D25_51030070_51050009_15991521,A,default,0.25,510300,510300_DTE30_D40_Q70_Hold,0.7,0.14906570927451002,0.012406168719655766,0.5583187093928648
A_default_D25_51030070_51050009_15991521,A,default,0.25,510500,510500_ETF_BuyHold,0.09,0.14906570927451002,0.002629761313398891,0.1183479747604862
A_default_D25_51030070_51050009_15991521,A,default,0.25,159915,159915_DTE30_OTM5up_Q50_Hold,0.21,0.14906570927451002,0.0071846556484580874,0.32333331584664904
A_default_D30_51030070_51050009_15991521,A,default,0.3,510300,510300_DTE30_D40_Q70_Hold,0.7,0.14906570927451002,0.012406168719655766,0.5583187093928648
A_default_D30_51030070_51050009_15991521,A,default,0.3,510500,510500_ETF_BuyHold,0.09,0.14906570927451002,0.002629761313398891,0.1183479747604862
A_default_D30_51030070_51050009_15991521,A,default,0.3,159915,159915_DTE30_OTM5up_Q50_Hold,0.21,0.14906570927451002,0.0071846556484580874,0.32333331584664904
B_default_D18_51030070_51005020_15991510,B,default,0.18,510300,510300_DTE30_D40_Q70_Hold,0.7,0.12808197045077457,0.010942179853047138,0.6670030937511486
B_default_D18_51030070_51005020_15991510,B,default,0.18,510050,510050_DTE30_D40_Q70_Hold,0.2,0.12808197045077457,0.0027489759545909456,0.16756948715744882
B_default_D18_51030070_51005020_15991510,B,default,0.18,159915,159915_DTE30_OTM5up_Q50_Hold,0.1,0.12808197045077457,0.002713835346915005,0.1654274190914025
B_default_D20_51030070_51005012_15991518,B,default,0.2,510300,510300_DTE30_D40_Q70_Hold,0.7,0.1370570274402218,0.011608243629269804,0.6179650272006153
B_default_D20_51030070_51005012_15991518,B,default,0.2,510050,510050_DTE30_D40_Q70_Hold,0.12,0.1370570274402218,0.0016932103081410653,0.09013807665859389
B_default_D20_51030070_51005012_15991518,B,default,0.2,159915,159915_DTE30_OTM5up_Q50_Hold,0.18,0.1370570274402218,0.005483174833338838,0.2918968961407908
B_default_D22_51030070_51005005_15991525,B,default,0.22,510300,510300_DTE30_D40_Q70_Hold,0.7,0.1457913502363671,0.01219104943346464,0.5735583093930335
B_default_D22_51030070_51005005_15991525,B,default,0.22,510050,510050_DTE30_D40_Q70_Hold,0.05,0.1457913502363671,0.0007214820631684381,0.03394392210996751
B_default_D22_51030070_51005005_15991525,B,default,0.22,159915,159915_DTE30_OTM5up_Q50_Hold,0.25,0.1457913502363671,0.008342586307109986,0.39249776849699897
B_default_D25_51030070_51005005_15991525,B,default,0.25,510300,510300_DTE30_D40_Q70_Hold,0.7,0.1457913502363671,0.01219104943346464,0.5735583093930335
B_default_D25_51030070_51005005_15991525,B,default,0.25,510050,510050_DTE30_D40_Q70_Hold,0.05,0.1457913502363671,0.0007214820631684381,0.03394392210996751
B_default_D25_51030070_51005005_15991525,B,default,0.25,159915,159915_DTE30_OTM5up_Q50_Hold,0.25,0.1457913502363671,0.008342586307109986,0.39249776849699897
B_default_D30_51030070_51005005_15991525,B,default,0.3,510300,510300_DTE30_D40_Q70_Hold,0.7,0.1457913502363671,0.01219104943346464,0.5735583093930335
B_default_D30_51030070_51005005_15991525,B,default,0.3,510050,510050_DTE30_D40_Q70_Hold,0.05,0.1457913502363671,0.0007214820631684381,0.03394392210996751
B_default_D30_51030070_51005005_15991525,B,default,0.3,159915,159915_DTE30_OTM5up_Q50_Hold,0.25,0.1457913502363671,0.008342586307109986,0.39249776849699897
A_relaxed_D20_51030079_51050008_15991513,A,relaxed,0.2,510300,510300_DTE30_D40_Q70_Hold,0.79,0.13979046794844388,0.013330444543066826,0.6821651286735696
A_relaxed_D20_51030079_51050008_15991513,A,relaxed,0.2,510500,510500_ETF_BuyHold,0.08,0.13979046794844388,0.0021582458422046333,0.11044493286778304
A_relaxed_D20_51030079_51050008_15991513,A,relaxed,0.2,159915,159915_DTE30_OTM5up_Q50_Hold,0.13,0.13979046794844388,0.0040526845439734565,0.20738993845864728
A_relaxed_D22_51030074_51050007_15991519,A,relaxed,0.22,510300,510300_DTE30_D40_Q70_Hold,0.74,0.145365489530454,0.012872584350066189,0.6091764644426073
A_relaxed_D22_51030074_51050007_15991519,A,relaxed,0.22,510500,510500_ETF_BuyHold,0.07,0.145365489530454,0.0019741355384633396,0.09342311341276364
