universe_short,row_sleeve,col_sleeve,correlation
A,510300__510300_DTE30_D40_Q70_Hold,510300__510300_DTE30_D40_Q70_Hold,1.0
A,510300__510300_DTE30_D40_Q70_Hold,510500__510500_ETF_BuyHold,0.8073062079910291
A,510300__510300_DTE30_D40_Q70_Hold,159915__159915_DTE30_OTM5up_Q50_Hold,0.8257450790532848
A,510500__510500_ETF_BuyHold,510300__510300_DTE30_D40_Q70_Hold,0.8073062079910291
A,510500__510500_ETF_BuyHold,510500__510500_ETF_BuyHold,1.0
A,510500__510500_ETF_BuyHold,159915__159915_DTE30_OTM5up_Q50_Hold,0.8658026853878712
A,159915__159915_DTE30_OTM5up_Q50_Hold,510300__510300_DTE30_D40_Q70_Hold,0.8257450790532848
A,159915__159915_DTE30_OTM5up_Q50_Hold,510500__510500_ETF_BuyHold,0.8658026853878712
A,159915__159915_DTE30_OTM5up_Q50_Hold,159915__159915_DTE30_OTM5up_Q50_Hold,1.0
B,510300__510300_DTE30_D40_Q70_Hold,510300__510300_DTE30_D40_Q70_Hold,1.0
B,510300__510300_DTE30_D40_Q70_Hold,510050__510050_DTE30_D40_Q70_Hold,0.8917021462151496
B,510300__510300_DTE30_D40_Q70_Hold,159915__159915_DTE30_OTM5up_Q50_Hold,0.8257450790532848
B,510050__510050_DTE30_D40_Q70_Hold,510300__510300_DTE30_D40_Q70_Hold,0.8917021462151496
B,510050__510050_DTE30_D40_Q70_Hold,510050__510050_DTE30_D40_Q70_Hold,1.0
B,510050__510050_DTE30_D40_Q70_Hold,159915__159915_DTE30_OTM5up_Q50_Hold,0.6401704412773996
B,159915__159915_DTE30_OTM5up_Q50_Hold,510300__510300_DTE30_D40_Q70_Hold,0.8257450790532848
B,159915__159915_DTE30_OTM5up_Q50_Hold,510050__510050_DTE30_D40_Q70_Hold,0.6401704412773996
B,159915__159915_DTE30_OTM5up_Q50_Hold,159915__159915_DTE30_OTM5up_Q50_Hold,1.0
