portfolio_name,universe_short,constraint_set,D_star,etf_code,weight
A_default_D22_51030070_51050009_15991521,A,default,0.22,510300,0.7
A_default_D22_51030070_51050009_15991521,A,default,0.22,510500,0.09
A_default_D22_51030070_51050009_15991521,A,default,0.22,159915,0.21
A_default_D25_51030070_51050009_15991521,A,default,0.25,510300,0.7
A_default_D25_51030070_51050009_15991521,A,default,0.25,510500,0.09
A_default_D25_51030070_51050009_15991521,A,default,0.25,159915,0.21
A_default_D30_51030070_51050009_15991521,A,default,0.3,510300,0.7
A_default_D30_51030070_51050009_15991521,A,default,0.3,510500,0.09
A_default_D30_51030070_51050009_15991521,A,default,0.3,159915,0.21
B_default_D18_51030070_51005020_15991510,B,default,0.18,510300,0.7
B_default_D18_51030070_51005020_15991510,B,default,0.18,159915,0.1
B_default_D18_51030070_51005020_15991510,B,default,0.18,510050,0.2
B_default_D20_51030070_51005012_15991518,B,default,0.2,510300,0.7
B_default_D20_51030070_51005012_15991518,B,default,0.2,159915,0.18
B_default_D20_51030070_51005012_15991518,B,default,0.2,510050,0.12
B_default_D22_51030070_51005005_15991525,B,default,0.22,510300,0.7
B_default_D22_51030070_51005005_15991525,B,default,0.22,159915,0.25
B_default_D22_51030070_51005005_15991525,B,default,0.22,510050,0.05
B_default_D25_51030070_51005005_15991525,B,default,0.25,510300,0.7
B_default_D25_51030070_51005005_15991525,B,default,0.25,159915,0.25
B_default_D25_51030070_51005005_15991525,B,default,0.25,510050,0.05
B_default_D30_51030070_51005005_15991525,B,default,0.3,510300,0.7
B_default_D30_51030070_51005005_15991525,B,default,0.3,159915,0.25
B_default_D30_51030070_51005005_15991525,B,default,0.3,510050,0.05
A_relaxed_D20_51030079_51050008_15991513,A,relaxed,0.2,510300,0.79
A_relaxed_D20_51030079_51050008_15991513,A,relaxed,0.2,510500,0.08
A_relaxed_D20_51030079_51050008_15991513,A,relaxed,0.2,159915,0.13
A_relaxed_D22_51030074_51050007_15991519,A,relaxed,0.22,510300,0.74
A_relaxed_D22_51030074_51050007_15991519,A,relaxed,0.22,510500,0.07
A_relaxed_D22_51030074_51050007_15991519,A,relaxed,0.22,159915,0.19
A_relaxed_D25_51030074_51050007_15991519,A,relaxed,0.25,510300,0.74
A_relaxed_D25_51030074_51050007_15991519,A,relaxed,0.25,510500,0.07
A_relaxed_D25_51030074_51050007_15991519,A,relaxed,0.25,159915,0.19
A_relaxed_D30_51030074_51050007_15991519,A,relaxed,0.3,510300,0.74
A_relaxed_D30_51030074_51050007_15991519,A,relaxed,0.3,510500,0.07
A_relaxed_D30_51030074_51050007_15991519,A,relaxed,0.3,159915,0.19
B_relaxed_D18_51030080_51005011_15991509,B,relaxed,0.18,510300,0.8
B_relaxed_D18_51030080_51005011_15991509,B,relaxed,0.18,159915,0.09
B_relaxed_D18_51030080_51005011_15991509,B,relaxed,0.18,510050,0.11
B_relaxed_D20_51030079_51005004_15991517,B,relaxed,0.2,510300,0.79
B_relaxed_D20_51030079_51005004_15991517,B,relaxed,0.2,159915,0.17
B_relaxed_D20_51030079_51005004_15991517,B,relaxed,0.2,510050,0.04
B_relaxed_D22_51030077_51005000_15991523,B,relaxed,0.22,510300,0.77
B_relaxed_D22_51030077_51005000_15991523,B,relaxed,0.22,159915,0.23
B_relaxed_D22_51030077_51005000_15991523,B,relaxed,0.22,510050,0.0
B_relaxed_D25_51030077_51005000_15991523,B,relaxed,0.25,510300,0.77
B_relaxed_D25_51030077_51005000_15991523,B,relaxed,0.25,159915,0.23
B_relaxed_D25_51030077_51005000_15991523,B,relaxed,0.25,510050,0.0
B_relaxed_D30_51030077_51005000_15991523,B,relaxed,0.3,510300,0.77
B_relaxed_D30_51030077_51005000_15991523,B,relaxed,0.3,159915,0.23
B_relaxed_D30_51030077_51005000_15991523,B,relaxed,0.3,510050,0.0
