portfolio_name,universe_short,constraint_set,D_star,frontier_status,feasible,feasible_candidate_count,sharpe_daily_mean,annualized_return_cagr,annualized_volatility,max_drawdown,calmar_ratio,sortino_ratio,option_leg_annualized_pnl_contribution,final_nav,weight_510300,weight_510500,weight_510050,weight_159915,note
A_default_D18_NA,A,default,0.18,infeasible,False,0,,,,,,,,,,,,,没有网格权重向量满足该 MDD 目标。
A_default_D20_NA,A,default,0.2,infeasible,False,0,,,,,,,,,,,,,没有网格权重向量满足该 MDD 目标。
A_default_D22_51030070_51050009_15991521,A,default,0.22,feasible,True,138,0.729757686257021,0.10262279365046378,0.14915029886425107,0.21938581131721213,0.46777315740843634,1.2221371309729228,-0.009832834864277242,1.4065580456167008,0.7,0.09,,0.21,在满足 MDD 目标的网格行中选择 sharpe_daily_mean 最高者。
A_default_D25_51030070_51050009_15991521,A,default,0.25,feasible,True,751,0.729757686257021,0.10262279365046378,0.14915029886425107,0.21938581131721213,0.46777315740843634,1.2221371309729228,-0.009832834864277242,1.4065580456167008,0.7,0.09,,0.21,在满足 MDD 目标的网格行中选择 sharpe_daily_mean 最高者。
A_default_D30_51030070_51050009_15991521,A,default,0.3,feasible,True,2291,0.729757686257021,0.10262279365046378,0.14915029886425107,0.21938581131721213,0.46777315740843634,1.2221371309729228,-0.009832834864277242,1.4065580456167008,0.7,0.09,,0.21,在满足 MDD 目标的网格行中选择 sharpe_daily_mean 最高者。
B_default_D18_51030070_51005020_15991510,B,default,0.18,feasible,True,449,0.7009274325964214,0.0850129112825122,0.12815466441903847,0.1786789816502884,0.4757857387440231,1.1485660693659494,-0.0017129245250172935,1.32966103502491,0.7,,0.2,0.1,在满足 MDD 目标的网格行中选择 sharpe_daily_mean 最高者。
B_default_D20_51030070_51005012_15991518,B,default,0.2,feasible,True,920,0.7169971714284774,0.09296578035746639,0.13713480823012758,0.199868387092341,0.4651349906301858,1.18736098515914,-0.006951684577253327,1.364006926359794,0.7,,0.12,0.18,在满足 MDD 目标的网格行中选择 sharpe_daily_mean 最高者。
B_default_D22_51030070_51005005_15991525,B,default,0.22,feasible,True,1427,0.7250167245928202,0.09975958542529706,0.14587408401001864,0.21803043702622305,0.45754889448439134,1.211281010109658,-0.011535599622959834,1.3938446929217578,0.7,,0.05,0.25,在满足 MDD 目标的网格行中选择 sharpe_daily_mean 最高者。
B_default_D25_51030070_51005005_15991525,B,default,0.25,feasible,True,2125,0.7250167245928202,0.09975958542529706,0.14587408401001864,0.21803043702622305,0.45754889448439134,1.211281010109658,-0.011535599622959834,1.3938446929217578,0.7,,0.05,0.25,在满足 MDD 目标的网格行中选择 sharpe_daily_mean 最高者。
B_default_D30_51030070_51005005_15991525,B,default,0.3,feasible,True,2960,0.7250167245928202,0.09975958542529706,0.14587408401001864,0.21803043702622305,0.45754889448439134,1.211281010109658,-0.011535599622959834,1.3938446929217578,0.7,,0.05,0.25,在满足 MDD 目标的网格行中选择 sharpe_daily_mean 最高者。
