portfolio_name,universe_short,constraint_set,D_star,frontier_status,feasible,feasible_candidate_count,sharpe_daily_mean,annualized_return_cagr,annualized_volatility,max_drawdown,calmar_ratio,sortino_ratio,option_leg_annualized_pnl_contribution,final_nav,weight_510300,weight_510500,weight_510050,weight_159915,note
A_relaxed_D18_NA,A,relaxed,0.18,infeasible,False,0,,,,,,,,,,,,,没有网格权重向量满足该 MDD 目标。
A_relaxed_D20_51030079_51050008_15991513,A,relaxed,0.2,feasible,True,93,0.7292830833707569,0.09657757310926085,0.13986979438068387,0.19992938552181638,0.4830584201376554,1.2074243525812343,-0.005179968626658489,1.3798122166521392,0.79,0.08,,0.13,在满足 MDD 目标的网格行中选择 sharpe_daily_mean 最高者。
A_relaxed_D22_51030074_51050007_15991519,A,relaxed,0.22,feasible,True,438,0.7300844637047412,0.10029925068763657,0.14544797921813377,0.2127857293903077,0.4713626753778214,1.2174439464054625,-0.008625114771985208,1.3962346425905765,0.74,0.07,,0.19,在满足 MDD 目标的网格行中选择 sharpe_daily_mean 最高者。
A_relaxed_D25_51030074_51050007_15991519,A,relaxed,0.25,feasible,True,1226,0.7300844637047412,0.10029925068763657,0.14544797921813377,0.2127857293903077,0.4713626753778214,1.2174439464054625,-0.008625114771985208,1.3962346425905765,0.74,0.07,,0.19,在满足 MDD 目标的网格行中选择 sharpe_daily_mean 最高者。
A_relaxed_D30_51030074_51050007_15991519,A,relaxed,0.3,feasible,True,3130,0.7300844637047412,0.10029925068763657,0.14544797921813377,0.2127857293903077,0.4713626753778214,1.2174439464054625,-0.008625114771985208,1.3962346425905765,0.74,0.07,,0.19,在满足 MDD 目标的网格行中选择 sharpe_daily_mean 最高者。
B_relaxed_D18_51030080_51005011_15991509,B,relaxed,0.18,feasible,True,944,0.7112696604045675,0.08677097226815933,0.12866228992793116,0.17925534583514735,0.48406351210277704,1.1629251317774751,-0.0018222350245360793,1.3371997747421225,0.8,,0.11,0.09,在满足 MDD 目标的网格行中选择 sharpe_daily_mean 最高者。
B_relaxed_D20_51030079_51005004_15991517,B,relaxed,0.2,feasible,True,1559,0.7247047242438088,0.0944338307956718,0.13762413355301478,0.1998619075156527,0.4724953942925616,1.1977903093844622,-0.006984579526167263,1.370415477458608,0.79,,0.04,0.17,在满足 MDD 目标的网格行中选择 sharpe_daily_mean 最高者。
B_relaxed_D22_51030077_51005000_15991523,B,relaxed,0.22,feasible,True,2171,0.7293225449629017,0.09971927039440431,0.14473805361579137,0.214882463030727,0.4640642562820262,1.215002577310755,-0.010760818464134625,1.3936662719416189,0.77,,0.0,0.23,在满足 MDD 目标的网格行中选择 sharpe_daily_mean 最高者。
B_relaxed_D25_51030077_51005000_15991523,B,relaxed,0.25,feasible,True,2994,0.7293225449629017,0.09971927039440431,0.14473805361579137,0.214882463030727,0.4640642562820262,1.215002577310755,-0.010760818464134625,1.3936662719416189,0.77,,0.0,0.23,在满足 MDD 目标的网格行中选择 sharpe_daily_mean 最高者。
B_relaxed_D30_51030077_51005000_15991523,B,relaxed,0.3,feasible,True,4050,0.7293225449629017,0.09971927039440431,0.14473805361579137,0.214882463030727,0.4640642562820262,1.215002577310755,-0.010760818464134625,1.3936662719416189,0.77,,0.0,0.23,在满足 MDD 目标的网格行中选择 sharpe_daily_mean 最高者。
