constraint_set,D_star,universe_A_status,universe_B_status,universe_A_portfolio,universe_B_portfolio,A_sharpe,B_sharpe,delta_sharpe_B_minus_A,A_mdd,B_mdd,delta_mdd_B_minus_A,A_cagr,B_cagr,delta_cagr_B_minus_A,interpretation_hint
default,0.18,infeasible,feasible,A_default_D18_NA,B_default_D18_51030070_51005020_15991510,,,,,,,,,,该 D-star 下至少一个 universe 不可行
default,0.2,infeasible,feasible,A_default_D20_NA,B_default_D20_51030070_51005012_15991518,,,,,,,,,,该 D-star 下至少一个 universe 不可行
default,0.22,feasible,feasible,A_default_D22_51030070_51050009_15991521,B_default_D22_51030070_51005005_15991525,0.729757686257021,0.7250167245928202,-0.0047409616642007935,0.21938581131721213,0.21803043702622305,-0.0013553742909890865,0.10262279365046378,0.09975958542529706,-0.0028632082251667246,Universe B 降低 MDD，但牺牲 Sharpe。
default,0.25,feasible,feasible,A_default_D25_51030070_51050009_15991521,B_default_D25_51030070_51005005_15991525,0.729757686257021,0.7250167245928202,-0.0047409616642007935,0.21938581131721213,0.21803043702622305,-0.0013553742909890865,0.10262279365046378,0.09975958542529706,-0.0028632082251667246,Universe B 降低 MDD，但牺牲 Sharpe。
default,0.3,feasible,feasible,A_default_D30_51030070_51050009_15991521,B_default_D30_51030070_51005005_15991525,0.729757686257021,0.7250167245928202,-0.0047409616642007935,0.21938581131721213,0.21803043702622305,-0.0013553742909890865,0.10262279365046378,0.09975958542529706,-0.0028632082251667246,Universe B 降低 MDD，但牺牲 Sharpe。
relaxed,0.18,infeasible,feasible,A_relaxed_D18_NA,B_relaxed_D18_51030080_51005011_15991509,,,,,,,,,,该 D-star 下至少一个 universe 不可行
relaxed,0.2,feasible,feasible,A_relaxed_D20_51030079_51050008_15991513,B_relaxed_D20_51030079_51005004_15991517,0.7292830833707569,0.7247047242438088,-0.0045783591269480395,0.19992938552181638,0.1998619075156527,-6.747800616369037e-05,0.09657757310926085,0.0944338307956718,-0.0021437423135890477,Universe B 降低 MDD，但牺牲 Sharpe。
relaxed,0.22,feasible,feasible,A_relaxed_D22_51030074_51050007_15991519,B_relaxed_D22_51030077_51005000_15991523,0.7300844637047412,0.7293225449629017,-0.0007619187418395068,0.2127857293903077,0.214882463030727,0.0020967336404192904,0.10029925068763657,0.09971927039440431,-0.0005799802932322518,该网格点上 Universe A 的 Sharpe 更强。
relaxed,0.25,feasible,feasible,A_relaxed_D25_51030074_51050007_15991519,B_relaxed_D25_51030077_51005000_15991523,0.7300844637047412,0.7293225449629017,-0.0007619187418395068,0.2127857293903077,0.214882463030727,0.0020967336404192904,0.10029925068763657,0.09971927039440431,-0.0005799802932322518,该网格点上 Universe A 的 Sharpe 更强。
relaxed,0.3,feasible,feasible,A_relaxed_D30_51030074_51050007_15991519,B_relaxed_D30_51030077_51005000_15991523,0.7300844637047412,0.7293225449629017,-0.0007619187418395068,0.2127857293903077,0.214882463030727,0.0020967336404192904,0.10029925068763657,0.09971927039440431,-0.0005799802932322518,该网格点上 Universe A 的 Sharpe 更强。
