strategy_name,universe_short,method,lookback,sample_start,sample_end,n_trading_days,option_leg_cumulative_simple_return,portfolio_cumulative_simple_return,option_leg_annualized_pnl_contribution,avg_daily_option_leg_return,option_leg_positive_day_rate,attribution_method
A_anchored_inverse_vol_L126,A,anchored_inverse_vol,126,2023-05-04,2026-05-27,742,-0.026505640639534173,0.3200382691840852,-0.0090019156888984,-3.572188765435872e-05,0.628032345013477,weighted Step A daily_return_option_leg_component
A_pure_inverse_vol_L126,A,pure_inverse_vol,126,2023-05-04,2026-05-27,742,-0.050084091806684626,0.36023501566513055,-0.01700969155698723,-6.74987760197906e-05,0.6253369272237197,weighted Step A daily_return_option_leg_component
A_rolling_min_variance_L126,A,rolling_min_variance,126,2023-05-04,2026-05-27,742,-0.0054199321559827394,0.3142224750002065,-0.0018407316756167795,-7.3044907762570615e-06,0.623989218328841,weighted Step A daily_return_option_leg_component
A_anchored_inverse_vol_L252,A,anchored_inverse_vol,252,2023-11-01,2026-05-27,621,-0.05439948909277844,0.39551433430444294,-0.02207515499417096,-8.759982140544033e-05,0.6199677938808373,weighted Step A daily_return_option_leg_component
A_pure_inverse_vol_L252,A,pure_inverse_vol,252,2023-11-01,2026-05-27,621,-0.07105984330900555,0.44959941030261985,-0.028835878444234138,-0.00011442808906442119,0.6183574879227053,weighted Step A daily_return_option_leg_component
A_rolling_min_variance_L252,A,rolling_min_variance,252,2023-11-01,2026-05-27,621,-0.05332475247043497,0.37042219009621513,-0.021639029988002597,-8.586916661905792e-05,0.6135265700483091,weighted Step A daily_return_option_leg_component
B_anchored_inverse_vol_L126,B,anchored_inverse_vol,126,2023-05-04,2026-05-27,742,-0.010973363530889547,0.27272034637488024,-0.0037268027086039975,-1.478889963731745e-05,0.6145552560646901,weighted Step A daily_return_option_leg_component
B_pure_inverse_vol_L126,B,pure_inverse_vol,126,2023-05-04,2026-05-27,742,-0.014858740547690805,0.2732269850315864,-0.005046364714310084,-2.0025256802817796e-05,0.6185983827493261,weighted Step A daily_return_option_leg_component
B_rolling_min_variance_L126,B,rolling_min_variance,126,2023-05-04,2026-05-27,742,0.02866209786192233,0.21452384545921394,0.00973429738706796,3.862816423439667e-05,0.6172506738544474,weighted Step A daily_return_option_leg_component
B_anchored_inverse_vol_L252,B,anchored_inverse_vol,252,2023-11-01,2026-05-27,621,-0.051137511698932984,0.33350638011855216,-0.020751454022755415,-8.234703977283894e-05,0.6038647342995169,weighted Step A daily_return_option_leg_component
B_pure_inverse_vol_L252,B,pure_inverse_vol,252,2023-11-01,2026-05-27,621,-0.04944216813818186,0.3393701276638306,-0.020063488519841913,-7.961701793588061e-05,0.6038647342995169,weighted Step A daily_return_option_leg_component
B_rolling_min_variance_L252,B,rolling_min_variance,252,2023-11-01,2026-05-27,621,-0.015763542074131928,0.2617857431611592,-0.006396799682256435,-2.538412572323982e-05,0.605475040257649,weighted Step A daily_return_option_leg_component
