strategy_name,universe_short,method,lookback,etf_code,sleeve_key,avg_target_weight,asset_vol_annualized,covariance_contribution,risk_contribution_to_variance,risk_contribution_method
A_anchored_inverse_vol_L126,A,anchored_inverse_vol,126,510300,510300__510300_DTE30_D40_Q70_Hold,0.6438649468174172,0.1218920531852184,4.6564179134245445e-05,0.486071322017065,ex_post_average_weight_covariance
A_anchored_inverse_vol_L126,A,anchored_inverse_vol,126,510500,510500__510500_ETF_BuyHold,0.22613796588605511,0.230639375486348,3.0152052760636973e-05,0.3147494150951836,ex_post_average_weight_covariance
A_anchored_inverse_vol_L126,A,anchored_inverse_vol,126,159915,159915__159915_DTE30_OTM5up_Q50_Hold,0.12999708729652779,0.2554613179224309,1.9080777772375154e-05,0.19917926288775137,ex_post_average_weight_covariance
A_pure_inverse_vol_L126,A,pure_inverse_vol,126,510300,510300__510300_DTE30_D40_Q70_Hold,0.4810940126632293,0.1218920531852184,3.803536375452275e-05,0.31444818806633,ex_post_average_weight_covariance
A_pure_inverse_vol_L126,A,pure_inverse_vol,126,510500,510500__510500_ETF_BuyHold,0.27841672095202896,0.230639375486348,4.227544427253946e-05,0.3495020301894295,ex_post_average_weight_covariance
A_pure_inverse_vol_L126,A,pure_inverse_vol,126,159915,159915__159915_DTE30_OTM5up_Q50_Hold,0.2404892663847417,0.2554613179224309,4.0648272667336756e-05,0.3360497817442406,ex_post_average_weight_covariance
A_rolling_min_variance_L126,A,rolling_min_variance,126,510300,510300__510300_DTE30_D40_Q70_Hold,0.6983827493261456,0.1218920531852184,4.886940645382022e-05,0.5538089919645055,ex_post_average_weight_covariance
A_rolling_min_variance_L126,A,rolling_min_variance,126,510500,510500__510500_ETF_BuyHold,0.2156469002695418,0.230639375486348,2.7428599122726184e-05,0.3108326033284175,ex_post_average_weight_covariance
A_rolling_min_variance_L126,A,rolling_min_variance,126,159915,159915__159915_DTE30_OTM5up_Q50_Hold,0.0859703504043127,0.2554613179224309,1.1944343614043004e-05,0.1353584047070769,ex_post_average_weight_covariance
A_anchored_inverse_vol_L252,A,anchored_inverse_vol,252,510300,510300__510300_DTE30_D40_Q70_Hold,0.654042888530653,0.12571361341118853,5.076998770534281e-05,0.491168435697554,ex_post_average_weight_covariance
A_anchored_inverse_vol_L252,A,anchored_inverse_vol,252,510500,510500__510500_ETF_BuyHold,0.21750891338146136,0.24482906947240393,3.196518539391702e-05,0.309243527846281,ex_post_average_weight_covariance
A_anchored_inverse_vol_L252,A,anchored_inverse_vol,252,159915,159915__159915_DTE30_OTM5up_Q50_Hold,0.12844819808788568,0.26838535269008545,2.0630564630282237e-05,0.19958803645616507,ex_post_average_weight_covariance
A_pure_inverse_vol_L252,A,pure_inverse_vol,252,510300,510300__510300_DTE30_D40_Q70_Hold,0.48972640359243647,0.12571361341118853,4.180224144675767e-05,0.3170506718485477,ex_post_average_weight_covariance
A_pure_inverse_vol_L252,A,pure_inverse_vol,252,510500,510500__510500_ETF_BuyHold,0.2704558154815266,0.24482906947240393,4.5500557144715835e-05,0.34510068630145957,ex_post_average_weight_covariance
A_pure_inverse_vol_L252,A,pure_inverse_vol,252,159915,159915__159915_DTE30_OTM5up_Q50_Hold,0.23981778092603703,0.26838535269008545,4.4544395432850255e-05,0.33784864184999264,ex_post_average_weight_covariance
A_rolling_min_variance_L252,A,rolling_min_variance,252,510300,510300__510300_DTE30_D40_Q70_Hold,0.7000000000000001,0.12571361341118853,5.255459062553601e-05,0.5493623294337473,ex_post_average_weight_covariance
A_rolling_min_variance_L252,A,rolling_min_variance,252,510500,510500__510500_ETF_BuyHold,0.23238325281803543,0.24482906947240393,3.284325978871983e-05,0.343316339999458,ex_post_average_weight_covariance
A_rolling_min_variance_L252,A,rolling_min_variance,252,159915,159915__159915_DTE30_OTM5up_Q50_Hold,0.06761674718196463,0.26838535269008545,1.0266864492036362e-05,0.10732133056679474,ex_post_average_weight_covariance
B_anchored_inverse_vol_L126,B,anchored_inverse_vol,126,510300,510300__510300_DTE30_D40_Q70_Hold,0.7000000000000002,0.1218920531852184,4.391461461797034e-05,0.6474387281436685,ex_post_average_weight_covariance
B_anchored_inverse_vol_L126,B,anchored_inverse_vol,126,510050,510050__510050_DTE30_D40_Q70_Hold,0.17496011922475263,0.1124225041827138,9.078335241065277e-06,0.1338430468596653,ex_post_average_weight_covariance
B_anchored_inverse_vol_L126,B,anchored_inverse_vol,126,159915,159915__159915_DTE30_OTM5up_Q50_Hold,0.12503988077524744,0.2554613179224309,1.4835267250994229e-05,0.21871822499666613,ex_post_average_weight_covariance
B_pure_inverse_vol_L126,B,pure_inverse_vol,126,510300,510300__510300_DTE30_D40_Q70_Hold,0.389195972512344,0.1218920531852184,2.4691595423852213e-05,0.34551862716104587,ex_post_average_weight_covariance
B_pure_inverse_vol_L126,B,pure_inverse_vol,126,510050,510050__510050_DTE30_D40_Q70_Hold,0.41318788423580566,0.1124225041827138,2.2464359300655733e-05,0.3143520883270689,ex_post_average_weight_covariance
B_pure_inverse_vol_L126,B,pure_inverse_vol,126,159915,159915__159915_DTE30_OTM5up_Q50_Hold,0.19761614325185028,0.2554613179224309,2.4306459984449226e-05,0.34012928451188523,ex_post_average_weight_covariance
B_rolling_min_variance_L126,B,rolling_min_variance,126,510300,510300__510300_DTE30_D40_Q70_Hold,0.3998652291105122,0.1218920531852184,2.2148781344827857e-05,0.40296047086949377,ex_post_average_weight_covariance
B_rolling_min_variance_L126,B,rolling_min_variance,126,510050,510050__510050_DTE30_D40_Q70_Hold,0.5477088948787063,0.1124225041827138,2.7748257064281915e-05,0.5048336772281095,ex_post_average_weight_covariance
