strategy_name,universe_short,method,lookback,rebalance_frequency,baseline_portfolio_name,baseline_source,baseline_role,sample_start,sample_end,n_trading_days,dynamic_sharpe,baseline_sharpe,delta_sharpe_vs_baseline,dynamic_cagr,baseline_cagr,delta_cagr_vs_baseline,dynamic_mdd,baseline_mdd,delta_mdd_vs_baseline,dynamic_final_nav,baseline_final_nav,delta_final_nav_vs_baseline,interpretation_hint
A_anchored_inverse_vol_L126,A,anchored_inverse_vol,126,monthly,A_Selected_50_30_20,stepB_fixed_weight,A fixed selected 50/30/20 anchor,2023-05-04,2026-05-27,742,0.7113451968600698,0.7081944027825581,0.0031507940775117316,0.10226966469641052,0.11278944192459384,-0.010519777228183314,0.20846696682794763,0.2205185783440996,-0.012051611516151972,1.3301822536515429,1.3671853824802496,-0.03700312882870671,dynamic_improves_sharpe_without_higher_mdd
A_anchored_inverse_vol_L126,A,anchored_inverse_vol,126,monthly,A_default_D25,stepC_default_candidate,A growth comparison default,2023-05-04,2026-05-27,742,0.7113451968600698,0.7399493349060595,-0.028604138045989713,0.10226966469641052,0.10636215693199569,-0.004092492235585166,0.20846696682794763,0.20143989819661678,0.007027068631330846,1.3301822536515429,1.3441527831362592,-0.013970529484716332,dynamic_not_clearly_better_than_static_baseline
A_anchored_inverse_vol_L126,A,anchored_inverse_vol,126,monthly,A_Selected_70_20_10,stepB_fixed_weight,A fixed selected 70/20/10,2023-05-04,2026-05-27,742,0.7113451968600698,0.7131720004616315,-0.0018268036015617328,0.10226966469641052,0.10002313768579207,0.0022465270106184487,0.20846696682794763,0.1969303936321276,0.011536573195820021,1.3301822536515429,1.3230957933680947,0.0070864602834481705,dynamic_not_clearly_better_than_static_baseline
A_anchored_inverse_vol_L252,A,anchored_inverse_vol,252,monthly,A_Selected_50_30_20,stepB_fixed_weight,A fixed selected 50/30/20 anchor,2023-11-01,2026-05-27,621,0.9997042078678298,0.9949829223294097,0.004721285538420106,0.1595600120480818,0.17718200290659447,-0.01762199085851268,0.14673138508534667,0.15556026841119064,-0.008828883325843973,1.4382853579549113,1.4923945251245168,-0.054109167169605454,dynamic_improves_sharpe_without_higher_mdd
A_anchored_inverse_vol_L252,A,anchored_inverse_vol,252,monthly,A_default_D25,stepC_default_candidate,A growth comparison default,2023-11-01,2026-05-27,621,0.9997042078678298,1.032618798788156,-0.032914590920326336,0.1595600120480818,0.16348199882783998,-0.003921986779758191,0.14673138508534667,0.136647428283162,0.010083956802184657,1.4382853579549113,1.4507484239095658,-0.012463065954654517,dynamic_not_clearly_better_than_static_baseline
A_anchored_inverse_vol_L252,A,anchored_inverse_vol,252,monthly,A_Selected_70_20_10,stepB_fixed_weight,A fixed selected 70/20/10,2023-11-01,2026-05-27,621,0.9997042078678298,0.9959720820423229,0.00373212582550686,0.1595600120480818,0.15390188868786137,0.005658123360220424,0.14673138508534667,0.13511606590798408,0.011615319177362582,1.4382853579549113,1.4215946286458336,0.016690729309077668,dynamic_improves_sharpe_and_cagr_but_mdd_must_be_checked
A_pure_inverse_vol_L126,A,pure_inverse_vol,126,monthly,A_Selected_50_30_20,stepB_fixed_weight,A fixed selected 50/30/20 anchor,2023-05-04,2026-05-27,742,0.7151060410890623,0.7081944027825581,0.006911638306504209,0.1144933560924164,0.11278944192459384,0.0017039141678225622,0.22865981274310287,0.2205185783440996,0.008141234399003272,1.3722691918996743,1.3671853824802496,0.005083809419424767,dynamic_improves_sharpe_and_cagr_but_mdd_must_be_checked
A_pure_inverse_vol_L126,A,pure_inverse_vol,126,monthly,A_default_D25,stepC_default_candidate,A growth comparison default,2023-05-04,2026-05-27,742,0.7151060410890623,0.7399493349060595,-0.024843293816997236,0.1144933560924164,0.10636215693199569,0.00813119916042071,0.22865981274310287,0.20143989819661678,0.02721991454648609,1.3722691918996743,1.3441527831362592,0.028116408763415146,dynamic_not_clearly_better_than_static_baseline
A_pure_inverse_vol_L126,A,pure_inverse_vol,126,monthly,A_Selected_70_20_10,stepB_fixed_weight,A fixed selected 70/20/10,2023-05-04,2026-05-27,742,0.7151060410890623,0.7131720004616315,0.0019340406274307442,0.1144933560924164,0.10002313768579207,0.014470218406624324,0.22865981274310287,0.1969303936321276,0.031729419110975265,1.3722691918996743,1.3230957933680947,0.04917339853157965,dynamic_improves_sharpe_and_cagr_but_mdd_must_be_checked
A_pure_inverse_vol_L252,A,pure_inverse_vol,252,monthly,A_Selected_50_30_20,stepB_fixed_weight,A fixed selected 50/30/20 anchor,2023-11-01,2026-05-27,621,1.006778448618087,0.9949829223294097,0.011795526288677416,0.18131794521958056,0.17718200290659447,0.004135942312986085,0.16354696137001323,0.15556026841119064,0.007986692958822594,1.5049059444565431,1.4923945251245168,0.012511419332026374,dynamic_improves_sharpe_and_cagr_but_mdd_must_be_checked
A_pure_inverse_vol_L252,A,pure_inverse_vol,252,monthly,A_default_D25,stepC_default_candidate,A growth comparison default,2023-11-01,2026-05-27,621,1.006778448618087,1.032618798788156,-0.025840350170069026,0.18131794521958056,0.16348199882783998,0.017835946391740576,0.16354696137001323,0.136647428283162,0.026899533086851224,1.5049059444565431,1.4507484239095658,0.05415752054697731,dynamic_not_clearly_better_than_static_baseline
A_pure_inverse_vol_L252,A,pure_inverse_vol,252,monthly,A_Selected_70_20_10,stepB_fixed_weight,A fixed selected 70/20/10,2023-11-01,2026-05-27,621,1.006778448618087,0.9959720820423229,0.01080636657576417,0.18131794521958056,0.15390188868786137,0.02741605653171919,0.16354696137001323,0.13511606590798408,0.02843089546202915,1.5049059444565431,1.4215946286458336,0.0833113158107095,dynamic_improves_sharpe_and_cagr_but_mdd_must_be_checked
A_rolling_min_variance_L126,A,rolling_min_variance,126,monthly,A_Selected_50_30_20,stepB_fixed_weight,A fixed selected 50/30/20 anchor,2023-05-04,2026-05-27,742,0.7141605074415582,0.7081944027825581,0.00596610465900016,0.10031685455720885,0.11278944192459384,-0.01247258736738499,0.19560708329102272,0.2205185783440996,-0.024911495053076882,1.3247910616041987,1.3671853824802496,-0.042394320876050884,dynamic_improves_sharpe_without_higher_mdd
A_rolling_min_variance_L126,A,rolling_min_variance,126,monthly,A_default_D25,stepC_default_candidate,A growth comparison default,2023-05-04,2026-05-27,742,0.7141605074415582,0.7399493349060595,-0.025788827464501285,0.10031685455720885,0.10636215693199569,-0.006045302374786843,0.19560708329102272,0.20143989819661678,-0.005832814905594064,1.3247910616041987,1.3441527831362592,-0.019361721532060505,dynamic_reduces_mdd_but_return_tradeoff_must_be_checked
A_rolling_min_variance_L126,A,rolling_min_variance,126,monthly,A_Selected_70_20_10,stepB_fixed_weight,A fixed selected 70/20/10,2023-05-04,2026-05-27,742,0.7141605074415582,0.7131720004616315,0.0009885069799266955,0.10031685455720885,0.10002313768579207,0.0002937168714167715,0.19560708329102272,0.1969303936321276,-0.0013233103411048885,1.3247910616041987,1.3230957933680947,0.0016952682361039972,dynamic_improves_sharpe_without_higher_mdd
A_rolling_min_variance_L252,A,rolling_min_variance,252,monthly,A_Selected_50_30_20,stepB_fixed_weight,A fixed selected 50/30/20 anchor,2023-11-01,2026-05-27,621,0.9634857115211206,0.9949829223294097,-0.031497210808289045,0.1484756838200212,0.17718200290659447,-0.028706319086573284,0.1352039903097345,0.15556026841119064,-0.020356278101456127,1.405230447010471,1.4923945251245168,-0.0871640781140457,dynamic_reduces_mdd_but_return_tradeoff_must_be_checked
A_rolling_min_variance_L252,A,rolling_min_variance,252,monthly,A_default_D25,stepC_default_candidate,A growth comparison default,2023-11-01,2026-05-27,621,0.9634857115211206,1.032618798788156,-0.06913308726703549,0.1484756838200212,0.16348199882783998,-0.015006315007818793,0.1352039903097345,0.136647428283162,-0.0014434379734274971,1.405230447010471,1.4507484239095658,-0.04551797689909476,dynamic_reduces_mdd_but_return_tradeoff_must_be_checked
A_rolling_min_variance_L252,A,rolling_min_variance,252,monthly,A_Selected_70_20_10,stepB_fixed_weight,A fixed selected 70/20/10,2023-11-01,2026-05-27,621,0.9634857115211206,0.9959720820423229,-0.03248637052120229,0.1484756838200212,0.15390188868786137,-0.005426204867840179,0.1352039903097345,0.13511606590798408,8.79244017504277e-05,1.405230447010471,1.4215946286458336,-0.016364181635362574,dynamic_not_clearly_better_than_static_baseline
