strategy_name,portfolio_name,universe_short,method,lookback,rebalance_frequency,sample_start,sample_end,n_trading_days,cumulative_return,annualized_return_cagr,arithmetic_annualized_return,annualized_volatility,sharpe_daily_mean,cagr_vol_ratio,sortino_ratio,calmar_ratio,max_drawdown,max_drawdown_start,max_drawdown_trough,max_drawdown_recovery,drawdown_duration,monthly_win_rate,worst_month_return,best_month_return,n_obs,final_nav,option_leg_annualized_pnl_contribution
A_anchored_inverse_vol_L126,A_anchored_inverse_vol_L126,A,anchored_inverse_vol,126,monthly,2023-05-04,2026-05-27,742,0.3315161308516896,0.10226966469641052,0.10917960956207946,0.15348330183995945,0.7113451968600698,0.666324371904961,1.1787042854884096,0.49057971271206685,0.20846696682794763,2023-08-04,2024-02-05,2024-10-08,280,0.5833333333333334,-0.09620006968854988,0.14558414665660835,742,1.3301822536515429,-0.0090019156888984
A_anchored_inverse_vol_L252,A_anchored_inverse_vol_L252,A,anchored_inverse_vol,252,monthly,2023-11-01,2026-05-27,621,0.4394008559031968,0.1595600120480818,0.16107242845458178,0.16112008650850562,0.9997042078678298,0.9903173186271752,1.6590631893605416,1.087429331872478,0.14673138508534667,2023-11-15,2024-02-05,2024-09-30,212,0.6333333333333333,-0.09730991188851545,0.14916987810764337,621,1.4382853579549113,-0.02207515499417096
A_pure_inverse_vol_L126,A_pure_inverse_vol_L126,A,pure_inverse_vol,126,monthly,2023-05-04,2026-05-27,742,0.3754038013724468,0.1144933560924164,0.12328413456410026,0.1723997945484367,0.7151060410890623,0.6641153859394469,1.2080671545407742,0.5007148161231488,0.22865981274310287,2023-08-04,2024-02-05,2024-10-08,280,0.5833333333333334,-0.10989905636788211,0.17070279773776376,742,1.3722691918996743,-0.01700969155698723
A_pure_inverse_vol_L252,A_pure_inverse_vol_L252,A,pure_inverse_vol,252,monthly,2023-11-01,2026-05-27,621,0.5067642409307855,0.18131794521958056,0.18324168336769767,0.18200795181821464,1.006778448618087,0.9962089205897815,1.7062256351821854,1.108659822846612,0.16354696137001323,2023-11-15,2024-02-05,2024-09-30,212,0.6333333333333333,-0.11095898815282523,0.17681044159163073,621,1.5049059444565431,-0.028835878444234138
A_rolling_min_variance_L126,A_rolling_min_variance_L126,A,rolling_min_variance,126,monthly,2023-05-04,2026-05-27,742,0.32459161315327,0.10031685455720885,0.10680987741897664,0.1495600447042603,0.7141605074415582,0.6707463531157347,1.1780145038358278,0.5128487827199908,0.19560708329102272,2023-08-04,2024-02-05,2024-10-08,280,0.6111111111111112,-0.08722746610801602,0.14635703384262855,742,1.3247910616041987,-0.0018407316756167795
A_rolling_min_variance_L252,A_rolling_min_variance_L252,A,rolling_min_variance,252,monthly,2023-11-01,2026-05-27,621,0.40578441850187574,0.1484756838200212,0.1507188652794834,0.15643082557138627,0.9634857115211206,0.9491459453575868,1.58745657244159,1.0981605164158468,0.1352039903097345,2023-11-15,2024-02-05,2024-05-06,185,0.6666666666666666,-0.0872274661080158,0.14509108660836856,621,1.405230447010471,-0.021639029988002597
B_anchored_inverse_vol_L126,B_anchored_inverse_vol_L126,B,anchored_inverse_vol,126,monthly,2023-05-04,2026-05-27,742,0.2817478233214168,0.08808195789147244,0.09290473745722153,0.1300469818330556,0.7143936456478901,0.6773087437319025,1.152043755540232,0.4928124255047409,0.1787332326315808,2023-08-04,2024-02-02,2024-10-08,280,0.6111111111111112,-0.0717808869110258,0.10856753886287751,742,1.2811533203536642,-0.0037268027086039975
B_anchored_inverse_vol_L252,B_anchored_inverse_vol_L252,B,anchored_inverse_vol,252,monthly,2023-11-01,2026-05-27,621,0.364442191914939,0.1346260085340396,0.1354250721986633,0.1346889904167886,1.00546504788251,0.9995323902677263,1.6177346436711462,1.1331682365591107,0.1188049613381631,2023-11-06,2024-02-02,2024-05-06,117,0.6666666666666666,-0.07194996905450546,0.11179327184355303,621,1.364875689421475,-0.020751454022755415
B_pure_inverse_vol_L126,B_pure_inverse_vol_L126,B,pure_inverse_vol,126,monthly,2023-05-04,2026-05-27,742,0.2817922468822791,0.0880947826664622,0.0932663073223738,0.13275756875491435,0.7025309983986983,0.6635763481711182,1.1516306477644909,0.483208513114757,0.18231214946649876,2023-08-04,2024-02-02,2024-10-08,280,0.6111111111111112,-0.06962517979323657,0.11178139514107732,742,1.2804843432154276,-0.005046364714310084
B_pure_inverse_vol_L252,B_pure_inverse_vol_L252,B,pure_inverse_vol,252,monthly,2023-11-01,2026-05-27,621,0.3708918900308571,0.13680290454525745,0.1376914344902837,0.13731222467907067,1.0027616609671814,0.9962907881289986,1.6403427712925072,1.1112371342943392,0.12310865100105783,2023-11-06,2024-02-02,2024-05-06,173,0.6666666666666666,-0.07001597176181906,0.11750137758088641,621,1.3717219475930842,-0.020063488519841913
