strategy_name,universe_short,method,lookback,matched_static_baseline,annualized_return_cagr,sharpe_daily_mean,max_drawdown,final_nav,avg_rebalance_turnover,annualized_turnover_approx,delta_sharpe_vs_matched_baseline,delta_cagr_vs_matched_baseline,delta_mdd_vs_matched_baseline,recommendation_score,research_note
B_anchored_inverse_vol_L252,B,anchored_inverse_vol,252,B_default_D20,0.1346260085340396,1.00546504788251,0.1188049613381631,1.364875689421475,0.0031521496175556996,0.03892148536769771,-0.031065876596753972,-0.013400545230334737,-0.003922662598499049,0.9003555661378774,keep_static_baseline_as_primary_interpretation
B_pure_inverse_vol_L252,B,pure_inverse_vol,252,B_default_D20,0.13680290454525745,1.0027616609671814,0.12310865100105783,1.3717219475930842,0.015981199770418515,0.19732947622737865,-0.03376926351208254,-0.011223649219116894,0.00038102706439568923,0.891148360994784,keep_static_baseline_as_primary_interpretation
A_anchored_inverse_vol_L252,A,anchored_inverse_vol,252,A_Selected_50_30_20,0.1595600120480818,0.9997042078678298,0.14673138508534667,1.4382853579549113,0.009880800880258098,0.1220041855691847,0.004721285538420106,-0.01762199085851268,-0.008828883325843973,0.890534191690991,closest_to_current_static_research_line
A_pure_inverse_vol_L252,A,pure_inverse_vol,252,A_Selected_50_30_20,0.18131794521958056,1.006778448618087,0.16354696137001323,1.5049059444565431,0.012171984564057162,0.15029480722211366,0.011795526288677416,0.004135942312986085,0.007986692958822594,0.8881901930503072,dynamic_weighting_has_sample_improvement_but_needs_robustness_review
A_rolling_min_variance_L252,A,rolling_min_variance,252,A_Selected_50_30_20,0.1484756838200212,0.9634857115211206,0.1352039903097345,1.405230447010471,0.016774193548387096,0.20712104689203928,-0.031497210808289045,-0.028706319086573284,-0.020356278101456127,0.8438179843524172,keep_static_baseline_as_primary_interpretation
B_rolling_min_variance_L252,B,rolling_min_variance,252,B_default_D20,0.10405568987267322,0.8958295165961592,0.10497458345123911,1.2769653653475592,0.01870967741935484,0.23101962922573613,-0.1407014078831048,-0.04397086389170113,-0.017753040485423033,0.7439414234532742,keep_static_baseline_as_primary_interpretation
A_rolling_min_variance_L126,A,rolling_min_variance,126,A_Selected_50_30_20,0.10031685455720885,0.7141605074415582,0.19560708329102272,1.3247910616041987,0.027567567567567564,0.3393032786885245,0.00596610465900016,-0.01247258736738499,-0.024911495053076882,0.5663031121676562,dynamic_weighting_has_sample_improvement_but_needs_robustness_review
B_anchored_inverse_vol_L126,B,anchored_inverse_vol,126,B_default_D20,0.08808195789147244,0.7143936456478901,0.1787332326315808,1.2811533203536642,0.005106861753473757,0.06285556143158717,-0.031056841814238623,-0.009828705797793491,-0.005174485153334629,0.5640492710040641,keep_static_baseline_as_primary_interpretation
A_anchored_inverse_vol_L126,A,anchored_inverse_vol,126,A_Selected_50_30_20,0.10226966469641052,0.7113451968600698,0.20846696682794763,1.3301822536515429,0.012554971157024279,0.15452733967105223,0.0031507940775117316,-0.010519777228183314,-0.012051611516151972,0.5546871231043112,closest_to_current_static_research_line
A_pure_inverse_vol_L126,A,pure_inverse_vol,126,A_Selected_50_30_20,0.1144933560924164,0.7151060410890623,0.22865981274310287,1.3722691918996743,0.017233157463461535,0.21210673793313758,0.006911638306504209,0.0017039141678225622,0.008141234399003272,0.544482027065468,dynamic_weighting_has_sample_improvement_but_needs_robustness_review
B_pure_inverse_vol_L126,B,pure_inverse_vol,126,B_default_D20,0.0880947826664622,0.7025309983986983,0.18231214946649876,1.2804843432154276,0.02008325245520832,0.24718587840874226,-0.04291948906343046,-0.00981588102280373,-0.0015955683184166736,0.5413246538988277,keep_static_baseline_as_primary_interpretation
B_rolling_min_variance_L126,B,rolling_min_variance,126,B_default_D20,0.06818912725002724,0.6277707813556804,0.16039153755478486,1.215033137814477,0.018378378378378378,0.22620218579234969,-0.11767970610644829,-0.029721536439238694,-0.02351618023013058,0.4458805183796109,keep_static_baseline_as_primary_interpretation
