etf_code,candidate_type,sleeve_name,parameter_grid_role,sample_scope,annualized_return_cagr,sharpe_daily_mean,max_drawdown,annualized_volatility,option_leg_annualized_pnl_contribution,assignment_rate,coverage,coverage_label,target_delta,delta_label,moneyness_label,target_moneyness,sharpe_diff_vs_buyhold,mdd_improvement_vs_buyhold,target_delta_scope,selection_policy
510300,target_delta_candidate,510300_DTE30_D40_Q70_Hold,target_delta_surface,main_stepA_common_sample,0.08315634785448145,0.7118808026857179,0.16453896609624363,0.12284448275932934,0.002543059022135292,0.4090909090909091,0.7,Q70,0.4,D40,,,0.22758532987825136,0.07731596850542055,core_target_delta_candidate,full_target_delta_surface
510300,fixed_moneyness_candidate,510300_DTE30_OTM4_Q50_Hold,surface,main_stepA_common_sample,0.0835308451807343,0.6168104641387803,0.214005878752451,0.147764260954351,0.0062307818182036,0.1363636363636363,0.5,Q50,,,OTM4,0.04,0.1325149913313137,0.0278490558492131,core_target_delta_candidate,full_target_delta_surface
510300,buyhold_baseline,510300_ETF_BuyHold,buyhold,main_stepA_common_sample,0.0720667959796823,0.4842954728074665,0.2418549346016641,0.175315865824836,0.0,,0.0,Q0,,,BuyHold,,0.0,0.0,core_target_delta_candidate,full_target_delta_surface
510050,target_delta_candidate,510050_DTE30_D40_Q70_Hold,target_delta_surface,main_stepA_common_sample,0.054329689956684746,0.5055691276771394,0.14697701092109483,0.1185401935401471,0.010151605540702283,0.45454545454545453,0.7,Q70,0.4,D40,,,0.203041009692904,0.06888820494412096,core_target_delta_candidate,full_target_delta_surface
510050,fixed_moneyness_candidate,510050_DTE30_OTM2_Q50_Hold,surface,main_stepA_common_sample,0.054816753098732,0.4669152514463239,0.1692557714933897,0.1332983921045597,0.0124577749178027,0.3181818181818182,0.5,Q50,,,OTM2,0.02,0.1643871334620886,0.046609444371826,core_target_delta_candidate,full_target_delta_surface
510050,buyhold_baseline,510050_ETF_BuyHold,buyhold,main_stepA_common_sample,0.0369531891288024,0.3025281179842353,0.2158652158652158,0.1645041165703348,0.0,,0.0,Q0,,,BuyHold,,0.0,0.0,core_target_delta_candidate,full_target_delta_surface
510500,fixed_moneyness_candidate,510500_DTE30_OTM7_Q10_Hold,surface,main_stepA_common_sample,0.1218518134689601,0.6446829861666743,0.2981988912393789,0.2136500884762144,-0.0036836703966318,0.1818181818181818,0.1,Q10,,,OTM7,0.07,-0.0018168524479962,0.0034227303822427,buyhold_preferred,buyhold_after_surface_check
510500,buyhold_baseline,510500_ETF_BuyHold,buyhold,main_stepA_common_sample,0.1247869660859002,0.6464998386146705,0.3016216216216216,0.218754011945905,0.0,,0.0,Q0,,,BuyHold,,0.0,0.0,buyhold_preferred,buyhold_after_surface_check
159915,target_delta_candidate,159915_DTE30_D20_Q10_Hold,target_delta_surface,main_stepA_common_sample,0.1816338446008876,0.7008332380179589,0.402236635226621,0.30241667539947664,-0.009598341823651877,0.22727272727272727,0.1,Q10,0.2,D20,,,0.00036762277074509075,0.006513857481302732,core_target_delta_candidate,full_target_delta_surface
159915,fixed_moneyness_candidate,159915_DTE30_OTM7_Q20_Hold,surface,main_stepA_common_sample,0.175034082951585,0.7017790657909371,0.3985912502578558,0.2884400982531292,-0.0191099683192937,0.25,0.2,Q20,,,OTM7,0.07,0.0013134505437232,0.0101592424500679,core_target_delta_candidate,full_target_delta_surface
159915,buyhold_baseline,159915_ETF_BuyHold,buyhold,main_stepA_common_sample,0.1882237638057449,0.7004656152472138,0.4087504927079237,0.3162937652591533,0.0,,0.0,Q0,,,BuyHold,,0.0,0.0,core_target_delta_candidate,full_target_delta_surface
588000,fixed_moneyness_candidate,588000_DTE30_OTM1_Q10_Hold,surface,short_sample_extension,0.2247537698765371,0.7819310016370233,0.342551312605412,0.3249476217446741,-0.0185251093335056,0.3428571428571428,0.1,Q10,,,OTM1,0.01,-0.0028638265692961,0.0221989230213555,short_sample_baseline,extension_or_baseline
588000,buyhold_baseline,588000_ETF_BuyHold,buyhold,short_sample_extension,0.2389742738605407,0.7847948282063195,0.3647502356267675,0.3474005025640231,0.0,,0.0,Q0,,,BuyHold,,0.0,0.0,short_sample_baseline,extension_or_baseline
