etf_code,strategy_name,strategy_label,delta_buyback_threshold,delta_buyback_label,early_close_rule,early_close_parameter,early_close_label,cycle_count,selected_cycle_count,buyback_count,buyback_rate,baseline_assignment_count,residual_assignment_count,baseline_net_option_yield_sum,delta_buyback_net_option_yield_sum,net_option_yield_change_sum,baseline_strategy_return_sum,delta_buyback_strategy_return_sum,strategy_return_change_sum,baseline_upside_cost_sum,delta_buyback_close_cost_sum,added_buyback_cost_sum,triggered_cycle_strategy_change_median
159915,ATM_Q100,ATM / Q100,0.7,Delta >= 0.70,delta,0.7,Delta >= 0.70,44,44,28,0.6363636363636364,24,3,-0.5449353038077768,-0.3208667457829067,0.22406855802487005,0.19837856394759437,0.4224471219724658,0.22406855802487138,1.7639422273076375,1.5054099740819005,0.034463695200867804,-0.0058564119096118205
159915,ATM_Q100,ATM / Q100,0.8,Delta >= 0.80,delta,0.8,Delta >= 0.80,44,44,21,0.4772727272727273,24,5,-0.5449353038077768,-0.3305423738823633,0.21439292992541353,0.19837856394759437,0.41277149387300915,0.21439292992541464,1.7639422273076375,1.5167362071480197,0.03281309023420468,-0.005879988365328586
159915,ATM_Q100,ATM / Q100,0.9,Delta >= 0.90,delta,0.9,Delta >= 0.90,44,44,14,0.3181818181818182,24,11,-0.5449353038077768,-0.33860454448977295,0.20633075931800382,0.19837856394759437,0.4047093232655993,0.20633075931800487,1.7639422273076375,1.5320279105418317,0.025583557447802052,-0.004820033529804988
159915,BuyHold,ETF BuyHold,0.7,Delta >= 0.70,delta,0.7,Delta >= 0.70,44,0,0,,0,0,0.0,0.0,0.0,0.7433138677553719,0.7433138677553719,0.0,0.0,0.0,0.0,
159915,BuyHold,ETF BuyHold,0.8,Delta >= 0.80,delta,0.8,Delta >= 0.80,44,0,0,,0,0,0.0,0.0,0.0,0.7433138677553719,0.7433138677553719,0.0,0.0,0.0,0.0,
159915,BuyHold,ETF BuyHold,0.9,Delta >= 0.90,delta,0.9,Delta >= 0.90,44,0,0,,0,0,0.0,0.0,0.0,0.7433138677553719,0.7433138677553719,0.0,0.0,0.0,0.0,
159915,D10_Q100,D10 / Q100,0.7,Delta >= 0.70,delta,0.7,Delta >= 0.70,44,44,5,0.11363636363636363,6,1,-0.3372722385291449,-0.08410594268990008,0.2531662958392448,0.4060416292262281,0.6592079250654734,0.2531662958392452,0.5214291532755582,0.26202849912956167,0.0062343583067511945,0.026047607566765607
159915,D10_Q100,D10 / Q100,0.8,Delta >= 0.80,delta,0.8,Delta >= 0.80,44,44,4,0.09090909090909091,6,2,-0.3372722385291449,-0.3864247917695881,-0.04915255324044321,0.4060416292262281,0.35688907598578523,-0.04915255324044289,0.5214291532755582,0.5580179421771841,0.012563764338816943,0.007645695619578487
159915,D10_Q100,D10 / Q100,0.9,Delta >= 0.90,delta,0.9,Delta >= 0.90,44,44,3,0.06818181818181818,6,3,-0.3372722385291449,-0.33274363482209734,0.0045286037070475064,0.4060416292262281,0.4105702329332759,0.004528603707047718,0.5214291532755582,0.5076085019206273,0.009292047647883056,0.009289722099691061
159915,D20_Q100,D20 / Q100,0.7,Delta >= 0.70,delta,0.7,Delta >= 0.70,44,44,7,0.1590909090909091,10,4,-0.3263924295863194,-0.10071002863169042,0.2256824009546291,0.4169214381690528,0.6426038391236824,0.22568240095462944,0.6682110833758718,0.4329741800557758,0.009554502365466793,0.026047607566765607
159915,D20_Q100,D20 / Q100,0.8,Delta >= 0.80,delta,0.8,Delta >= 0.80,44,44,6,0.13636363636363635,10,5,-0.3263924295863194,-0.1290130120176562,0.19737941756866334,0.4169214381690528,0.6143008557377164,0.19737941756866356,0.6682110833758718,0.46113753199861274,0.009694133808595526,0.016872094898207755
159915,D20_Q100,D20 / Q100,0.9,Delta >= 0.90,delta,0.9,Delta >= 0.90,44,44,3,0.06818181818181818,10,7,-0.3263924295863194,-0.3666555689550526,-0.04026313936873311,0.4169214381690528,0.37665829880031976,-0.040263139368733006,0.6682110833758718,0.6967477214586468,0.011726501285957838,0.011446086576300876
159915,D30_Q100,D30 / Q100,0.7,Delta >= 0.70,delta,0.7,Delta >= 0.70,44,44,14,0.3181818181818182,13,2,-0.43861199993223365,-0.1543738742431403,0.2842381256890933,0.3047018678231388,0.5889399935122326,0.2842381256890937,1.000299938932018,0.6999991492641465,0.0160626639787787,0.00797413882953691
