etf_code,strategy_name,strategy_label,delta_buyback_threshold,delta_buyback_label,early_close_rule,early_close_parameter,early_close_label,cycle_count,selected_cycle_count,buyback_count,buyback_rate,baseline_assignment_count,residual_assignment_count,baseline_net_option_yield_sum,delta_buyback_net_option_yield_sum,net_option_yield_change_sum,baseline_strategy_return_sum,delta_buyback_strategy_return_sum,strategy_return_change_sum,baseline_upside_cost_sum,delta_buyback_close_cost_sum,added_buyback_cost_sum,triggered_cycle_strategy_change_median
159915,ATM_Q100,ATM / Q100,0.8,TP80 (remaining premium <= 20%),tp80,0.8,TP80 (remaining premium <= 20%),44,44,21,0.4772727272727273,24,21,-0.5449353038077768,-0.6107530638461739,-0.06581776003839705,0.19837856394759437,0.13256080390919675,-0.06581776003839766,1.7639422273076375,1.8275436240938083,0.0022163632522274298,-0.003570224461749887
159915,BuyHold,ETF BuyHold,0.8,TP80 (remaining premium <= 20%),tp80,0.8,TP80 (remaining premium <= 20%),44,0,0,,0,0,0.0,0.0,0.0,0.7433138677553719,0.7433138677553719,0.0,0.0,0.0,0.0,
159915,D10_Q100,D10 / Q100,0.8,TP80 (remaining premium <= 20%),tp80,0.8,TP80 (remaining premium <= 20%),44,44,36,0.8181818181818182,6,5,-0.3372722385291449,-0.3117595762764892,0.025512662252655693,0.4060416292262281,0.43155429147888236,0.0255126622526542,0.5214291532755582,0.49536285681694886,0.0005536342059540869,-0.0005746004830238646
159915,D20_Q100,D20 / Q100,0.8,TP80 (remaining premium <= 20%),tp80,0.8,TP80 (remaining premium <= 20%),44,44,31,0.7045454545454546,10,7,-0.3263924295863194,-0.24914139571416227,0.07725103387215727,0.4169214381690528,0.4941724720412094,0.07725103387215665,0.6682110833758718,0.5900264603839355,0.0009335891197801043,-0.0012093891744784785
159915,D30_Q100,D30 / Q100,0.8,TP80 (remaining premium <= 20%),tp80,0.8,TP80 (remaining premium <= 20%),44,44,29,0.6590909090909091,13,10,-0.43861199993223365,-0.32094385783535373,0.11766814209687998,0.3047018678231388,0.4223700099200179,0.11766814209687917,1.000299938932018,0.8811229867743964,0.0015088100607428,-0.0020466586029634116
159915,D40_Q100,D40 / Q100,0.8,TP80 (remaining premium <= 20%),tp80,0.8,TP80 (remaining premium <= 20%),44,44,27,0.6136363636363636,17,15,-0.449025298805809,-0.3716251874531679,0.07740011135264094,0.2942885689495629,0.3716886803022035,0.07740011135264062,1.2223506287977959,1.143189302791968,0.001761214653187808,-0.002701222953904042
159915,D50_Q100,D50 / Q100,0.8,TP80 (remaining premium <= 20%),tp80,0.8,TP80 (remaining premium <= 20%),44,44,23,0.5227272727272727,19,19,-0.5488506031002278,-0.6295379625255071,-0.08068735942527941,0.19446326465514358,0.1137759052298638,-0.0806873594252798,1.6360528768263463,1.7147338709026803,0.0020063653489465114,-0.003465355861243918
510050,ATM_Q100,ATM / Q100,0.8,TP80 (remaining premium <= 20%),tp80,0.8,TP80 (remaining premium <= 20%),44,44,16,0.36363636363636365,25,23,0.07434318765066661,0.04975189390223665,-0.02459129374842993,0.2377667605608283,0.21317546681239796,-0.024591293748430342,0.7376269768974664,0.7611171847485664,0.001101085897330625,-0.002532217383628416
510050,BuyHold,ETF BuyHold,0.8,TP80 (remaining premium <= 20%),tp80,0.8,TP80 (remaining premium <= 20%),44,0,0,,0,0,0.0,0.0,0.0,0.1634235729101617,0.1634235729101617,0.0,0.0,0.0,0.0,
510050,D10_Q100,D10 / Q100,0.8,TP80 (remaining premium <= 20%),tp80,0.8,TP80 (remaining premium <= 20%),44,44,38,0.8636363636363636,1,1,0.0367222316619164,0.020939345528886866,-0.01578288613302953,0.20014580457208025,0.18436291843904878,-0.015782886133031516,0.0673387096774194,0.08272913984127092,0.00039245596917821413,-0.0003744518814252345
510050,D20_Q100,D20 / Q100,0.8,TP80 (remaining premium <= 20%),tp80,0.8,TP80 (remaining premium <= 20%),44,44,35,0.7954545454545454,7,6,0.0769268806011843,0.04837739228517444,-0.028549488316009855,0.24035045351134757,0.21180096519533598,-0.028549488316011517,0.1492095055492356,0.17702958191784743,0.0007294119473996005,-0.0008496813256850507
510050,D30_Q100,D30 / Q100,0.8,TP80 (remaining premium <= 20%),tp80,0.8,TP80 (remaining premium <= 20%),44,44,30,0.6818181818181818,12,10,0.05413344754716478,0.040734327924494794,-0.013399119622670016,0.21755702045732742,0.2041579008346563,-0.013399119622671016,0.3146260557640659,0.32709496296879365,0.0009302124179434142,-0.0012409697113711542
510050,D40_Q100,D40 / Q100,0.8,TP80 (remaining premium <= 20%),tp80,0.8,TP80 (remaining premium <= 20%),44,44,22,0.5,20,17,0.059024132495783505,0.046785447613646794,-0.012238684882136698,0.22244770540594516,0.2102090205238081,-0.012238684882137007,0.4878873352235252,0.49897906411492443,0.0011469559907384878,-0.0020624288085285465
510050,D50_Q100,D50 / Q100,0.8,TP80 (remaining premium <= 20%),tp80,0.8,TP80 (remaining premium <= 20%),44,44,18,0.4090909090909091,23,21,0.028388160226944233,0.001609429500741208,-0.026778730726202994,0.19181173313710598,0.1650330024109028,-0.026778730726203202,0.700272163389259,0.7258954155872853,0.0011554785281772497,-0.002394289871187048
510300,ATM_Q100,ATM / Q100,0.8,TP80 (remaining premium <= 20%),tp80,0.8,TP80 (remaining premium <= 20%),44,44,20,0.45454545454545453,23,21,-0.11269855832994409,-0.11227093174227169,0.0004276265876724458,0.16939875041439004,0.16982637700206146,0.0004276265876714414,0.855343038508685,0.8538165064786075,0.0010989054424062528,-0.0022610695046714033
510300,BuyHold,ETF BuyHold,0.8,TP80 (remaining premium <= 20%),tp80,0.8,TP80 (remaining premium <= 20%),44,0,0,,0,0,0.0,0.0,0.0,0.2820973087443333,0.2820973087443333,0.0,0.0,0.0,0.0,
510300,D10_Q100,D10 / Q100,0.8,TP80 (remaining premium <= 20%),tp80,0.8,TP80 (remaining premium <= 20%),44,44,38,0.8636363636363636,3,3,-0.022308109861567196,-0.036080059865986426,-0.01377195000441922,0.2597891988827683,0.24601724887834678,-0.01377195000442152,0.12240204886182411,0.13583154667208164,0.0003424521941615665,-0.00035757045581406854
510300,D20_Q100,D20 / Q100,0.8,TP80 (remaining premium <= 20%),tp80,0.8,TP80 (remaining premium <= 20%),44,44,35,0.7954545454545454,5,4,0.00045542678132480963,-0.00866929300499725,-0.009124719786322049,0.2825527355256602,0.273428015739336,-0.009124719786324165,0.222371172242872,0.23082485746888753,0.0006710345603079247,-0.0007141733298941487
510300,D30_Q100,D30 / Q100,0.8,TP80 (remaining premium <= 20%),tp80,0.8,TP80 (remaining premium <= 20%),44,44,28,0.6363636363636364,13,12,-0.0384551872930268,-0.05242955064847605,-0.01397436335544924,0.24364212145130795,0.22966775809585732,-0.013974363355450629,0.4003348846547995,0.41341363095371164,0.0008956170565382571,-0.001286069484003012
