风格组,实验阶段,规则,平均年化期权贡献,平均净期权贡献,平均最大回撤,平均覆盖比例,平均被行权频率,平均卖出成功率
broad_base,ATM核心检验,当前保守版,0.0204154931071921,0.1017949932189252,-0.4280820475690183,0.3423076923076923,0.2076923076923077,0.4615384615384615
broad_base,ATM核心检验,宽基增强版,0.07037078783749,0.3171505369662223,-0.2846398262052787,0.7788461538461537,0.4538461538461539,1.0
broad_base,ATM核心检验,成长防守版,0.0122353861433849,0.0610211732454722,-0.4431073455158192,0.2269230769230769,0.2076923076923077,0.4615384615384615
broad_base,ATM核心检验,高IV-only版,0.0078250960817425,0.0404947065440387,-0.4484218591983776,0.2230769230769231,0.1,0.2230769230769231
broad_base,OTM5稳健性检查,当前保守版,0.0166207925038804,0.0828612407497693,-0.4526426944346165,0.3423076923076923,0.0615384615384615,0.4615384615384615
broad_base,OTM5稳健性检查,宽基增强版,0.0404466676934881,0.1822870365911998,-0.3902666112567857,0.7788461538461537,0.0846153846153846,1.0
broad_base,OTM5稳健性检查,成长防守版,0.0113092658089144,0.0563825547760137,-0.4559228525902516,0.2269230769230769,0.0615384615384615,0.4615384615384615
broad_base,OTM5稳健性检查,高IV-only版,0.0115749485596,0.0598077376045163,-0.4503138505067364,0.2230769230769231,0.0461538461538461,0.2230769230769231
growth_high_beta,ATM核心检验,当前保守版,-0.0126560609395868,-0.064449706214255,-0.5201063280451242,0.258974358974359,0.1948717948717948,0.3538461538461538
growth_high_beta,ATM核心检验,宽基增强版,0.0004626916173208,0.0019709334326343,-0.501171037261872,0.5653846153846154,0.3128205128205128,0.6461538461538462
growth_high_beta,ATM核心检验,成长防守版,-0.00370087854254,-0.0188544880935479,-0.527149589354086,0.1705128205128205,0.1948717948717948,0.3538461538461538
growth_high_beta,ATM核心检验,高IV-only版,0.0102726283801864,0.053481460054318,-0.5520631302966584,0.1641025641025641,0.0923076923076923,0.1641025641025641
growth_high_beta,OTM5稳健性检查,当前保守版,-0.0032005813417359,-0.0160654952934738,-0.5366830139210385,0.258974358974359,0.1076923076923077,0.3538461538461538
growth_high_beta,OTM5稳健性检查,宽基增强版,-0.0049337340880989,-0.0235779353707819,-0.5732640108991799,0.5653846153846154,0.1435897435897436,0.6461538461538462
growth_high_beta,OTM5稳健性检查,成长防守版,0.0018009105965024,0.0093611293130584,-0.5370745974301402,0.1705128205128205,0.1076923076923077,0.3538461538461538
growth_high_beta,OTM5稳健性检查,高IV-only版,0.0133544517399361,0.0695755078391815,-0.5578790899804691,0.1641025641025641,0.0461538461538461,0.1641025641025641
