ETF代码,软评分,硬门槛_有期权,硬门槛_有可选Roll,硬门槛_数据完整度,硬门槛_交易天数,硬门槛_全部通过,最终评分,可选Roll比例,数据完整度,交易天数,ETF流动性分数,期权可得性分数,期权流动性分数,权利金充足性分数,低上涨截断风险分数,数据质量分数
510300,92.26310510938735,1,1,1,1,1,92.26310510938735,1.0,0.9271054493984432,1310,98.05833968923952,99.56190221048706,97.88300859072172,55.63058678063517,100.0,98.91242908283962
510050,89.00855950604571,1,1,1,1,1,89.00855950604571,1.0,0.9271054493984432,1310,80.4091203883622,100.0,97.9075332092842,56.69487114606838,100.0,98.91242908283962
588000,85.32354096615667,1,1,1,1,1,85.32354096615667,0.5606060606060606,0.9271054493984432,1310,99.14926327311451,73.38982033957215,96.76289900825785,97.48116760828626,33.33333333333334,100.0
159915,83.99268639523955,1,1,1,1,1,83.99268639523955,0.696969696969697,0.9263977353149327,1309,97.50137513570463,82.46528748034072,90.4220914710394,80.8014659683782,66.66666666666667,49.67360136660363
510500,81.2691620789261,1,1,1,1,1,81.2691620789261,0.696969696969697,0.9271054493984432,1310,84.66794640448902,81.9946866938942,95.477394308154,59.89248319457374,60.0,99.67360136660363
159919,79.32772714747927,1,1,1,1,1,79.32772714747927,1.0,0.9271054493984432,1310,54.71893727445568,99.08927786166272,78.30344521682552,60.60091645882718,100.0,98.91242908283962
588080,74.92552245850266,1,1,1,1,1,74.92552245850266,0.5606060606060606,0.9271054493984432,1310,61.83655963967783,73.58957845630184,83.3099303326332,100.0,33.33333333333334,100.0
159922,65.33156616414026,1,1,1,1,1,65.33156616414026,0.696969696969697,0.9271054493984432,1310,25.80002519895621,81.78936129328025,78.84537199684817,55.750207112133744,66.66666666666667,99.67360136660363
159901,58.73394503526679,1,1,1,1,1,58.73394503526679,0.6515151515151515,0.9263977353149327,1309,4.778436110355345,78.79281993685788,68.28311139177899,65.68173882681565,86.66666666666667,49.80694980694981
512170,22.9371532723045,0,0,1,1,0,0.0,0.0,0.9263977353149327,1309,36.76909969485581,0.0,25.0,0.0,93.33333333333331,0.0
515790,18.57611556935749,0,0,1,1,0,0.0,0.0,0.9271054493984432,1310,39.13057784678746,0.0,25.0,0.0,20.0,50.0
512480,19.43389002728013,0,0,1,1,0,0.0,0.0,0.9263977353149327,1309,65.91945013640066,0.0,25.0,0.0,0.0,0.0
159995,20.27697202384936,0,0,1,1,0,0.0,0.0,0.9271054493984432,1310,47.63486011924678,0.0,25.0,0.0,20.0,50.0
512880,30.51341490243888,0,0,1,1,0,0.0,0.0,0.9271054493984432,1310,78.81707451219441,0.0,25.0,0.0,60.0,50.0
512690,23.33612117764704,0,0,1,1,0,0.0,0.0,0.9263977353149327,1309,48.76393922156852,0.0,25.0,0.0,73.33333333333333,0.0
159928,23.73840495718482,0,0,1,1,0,0.0,0.0,0.9271054493984432,1310,28.27535811925741,0.0,25.0,0.0,93.33333333333331,50.0
510880,24.33418109257521,0,0,1,1,0,0.0,0.0,0.9271054493984432,1310,27.920905462876064,0.0,25.0,0.0,100.0,50.0
515030,12.75,0,0,1,1,0,0.0,0.0,0.9271054493984432,1310,0.0,0.0,25.0,0.0,40.0,50.0
